Notes,County,County Code,Deaths,Population,Crude Rate,Age Adjusted Rate
,"Sarpy County, NE",31153,27,187196,14.4,14.7
,"Scotts Bluff County, NE",31157,15,35618,Unreliable,Unreliable
,"Clark County, NV",32003,419,2266715,18.5,17.5
,"Douglas County, NV",32005,22,48905,45,50.4
,"Elko County, NV",32007,22,52778,41.7,44.1
,"Lyon County, NV",32019,16,57510,Unreliable,Unreliable
,"Nye County, NV",32023,18,46523,Unreliable,Unreliable
,"Washoe County, NV",32031,111,471519,23.5,22.3
,"Carson City, NV",32510,17,55916,Unreliable,Unreliable
,"Belknap County, NH",33001,17,61303,Unreliable,Unreliable
,"Carroll County, NH",33003,11,48910,Unreliable,Unreliable
,"Cheshire County, NH",33005,16,76085,Unreliable,Unreliable
,"Grafton County, NH",33009,18,89886,Unreliable,Unreliable
,"Hillsborough County, NH",33011,92,417025,22.1,20.8
,"Merrimack County, NH",33013,30,151391,19.8,18.2
,"Rockingham County, NH",33015,39,309769,12.6,12.1
,"Strafford County, NH",33017,19,130633,Unreliable,Unreliable
,"Atlantic County, NJ",34001,33,263670,12.5,11.8
,"Bergen County, NJ",34003,88,932202,9.4,8.7
,"Burlington County, NJ",34005,48,445349,10.8,9.4
,"Camden County, NJ",34007,55,506471,10.9,9.9
,"Cumberland County, NJ",34011,18,149527,Unreliable,Unreliable
,"Essex County, NJ",34013,58,798975,7.3,7.2
,"Gloucester County, NJ",34015,30,291636,10.3,9.2
,"Hudson County, NJ",34017,40,672391,5.9,5.4
,"Hunterdon County, NJ",34019,18,124371,Unreliable,Unreliable
,"Mercer County, NJ",34021,27,367430,7.3,7.5
,"Middlesex County, NJ",34023,62,825062,7.5,7.4
,"Monmouth County, NJ",34025,54,618795,8.7,8.2
,"Morris County, NJ",34027,35,491845,7.1,6.3
,"Ocean County, NJ",34029,71,607186,11.7,11.7
,"Passaic County, NJ",34031,27,501826,5.4,5.3
,"Somerset County, NJ",34035,25,328934,7.6,7.1
,"Sussex County, NJ",34037,12,140488,Unreliable,Unreliable
,"Union County, NJ",34039,37,556341,6.7,6.5
,"Bernalillo County, NM",35001,160,679121,23.6,22.6
,"Chaves County, NM",35005,13,64615,Unreliable,Unreliable
,"Cibola County, NM",35006,11,26675,Unreliable,Unreliable
,"Dona Ana County, NM",35013,36,218195,16.5,17.1
,"Eddy County, NM",35015,20,58460,34.2,34
,"Lea County, NM",35025,10,71070,Unreliable,Unreliable
,"McKinley County, NM",35031,19,71367,Unreliable,Unreliable
,"Otero County, NM",35035,21,67490,31.1,30
,"Sandoval County, NM",35043,46,146748,31.3,32.3
,"San Juan County, NM",35045,33,123958,26.6,29
,"Santa Fe County, NM",35049,42,150358,27.9,26.9
,"Valencia County, NM",35061,14,76688,Unreliable,Unreliable
,"Albany County, NY",36001,35,305506,11.5,10.9
,"Bronx County, NY",36005,68,1418207,4.8,4.7
,"Broome County, NY",36007,19,190488,Unreliable,Unreliable
,"Cattaraugus County, NY",36009,12,76117,Unreliable,Unreliable
,"Chautauqua County, NY",36013,14,126903,Unreliable,Unreliable
,"Chemung County, NY",36015,11,83456,Unreliable,Unreliable
,"Clinton County, NY",36019,10,80485,Unreliable,Unreliable
,"Columbia County, NY",36021,12,59461,Unreliable,Unreliable
,"Dutchess County, NY",36027,40,294218,13.6,12
,"Erie County, NY",36029,105,918702,11.4,10.9
,"Fulton County, NY",36035,10,53383,Unreliable,Unreliable
,"Greene County, NY",36039,11,47188,Unreliable,Unreliable
,"Jefferson County, NY",36045,24,109834,21.9,22
,"Kings County, NY",36047,152,2559903,5.9,5.8
,"Monroe County, NY",36055,97,741770,13.1,12.7
,"Nassau County, NY",36059,84,1356924,6.2,5.9
,"New York County, NY",36061,131,1628706,8,7.2
,"Niagara County, NY",36063,18,209281,Unreliable,Unreliable
,"Oneida County, NY",36065,34,228671,14.9,15.7
,"Onondaga County, NY",36067,54,460528,11.7,12.1
,"Ontario County, NY",36069,22,109777,20,18
,"Orange County, NY",36071,47,384940,12.2,11.2
,"Oswego County, NY",36075,13,117124,Unreliable,Unreliable
,"Queens County, NY",36081,142,2253858,6.3,5.9
,"Rensselaer County, NY",36083,15,158714,Unreliable,Unreliable
,"Richmond County, NY",36085,33,476143,6.9,6.6
,"Rockland County, NY",36087,21,325789,6.4,6.2
,"St. Lawrence County, NY",36089,14,107740,Unreliable,Unreliable
,"Saratoga County, NY",36091,27,229863,11.7,10.6
,"Schenectady County, NY",36093,12,155299,Unreliable,Unreliable
,"Steuben County, NY",36101,11,95379,Unreliable,Unreliable
,"Suffolk County, NY",36103,136,1476601,9.2,8.5
,"Sullivan County, NY",36105,14,75432,Unreliable,Unreliable
,"Tompkins County, NY",36109,16,102180,Unreliable,Unreliable
,"Ulster County, NY",36111,24,177573,13.5,12.2
,"Wayne County, NY",36117,16,89918,Unreliable,Unreliable
,"Westchester County, NY",36119,62,967506,6.4,6.2
,"Alamance County, NC",37001,22,169509,13,13.3
,"Brunswick County, NC",37019,25,142820,17.5,17.9
,"Buncombe County, NC",37021,55,261191,21.1,20.5
,"Burke County, NC",37023,13,90485,Unreliable,Unreliable
,"Cabarrus County, NC",37025,19,216453,Unreliable,Unreliable
,"Caldwell County, NC",37027,10,82178,Unreliable,Unreliable
,"Carteret County, NC",37031,14,69473,Unreliable,Unreliable
,"Catawba County, NC",37035,26,159551,16.3,16.4
,"Chatham County, NC",37037,11,74470,Unreliable,Unreliable
,"Cleveland County, NC",37045,14,97947,Unreliable,Unreliable
,"Craven County, NC",37049,13,102139,Unreliable,Unreliable
,"Cumberland County, NC",37051,47,335509,14,14
,"Davidson County, NC",37057,26,167609,15.5,15.1
,"Durham County, NC",37063,25,321488,7.8,7.4
,"Forsyth County, NC",37067,40,382295,10.5,9.9
,"Franklin County, NC",37069,12,69685,Unreliable,Unreliable
,"Gaston County, NC",37071,34,224529,15.1,15.6
,"Guilford County, NC",37081,56,537174,10.4,10.1
,"Harnett County, NC",37085,18,135976,Unreliable,Unreliable
,"Haywood County, NC",37087,15,62317,Unreliable,Unreliable
,"Henderson County, NC",37089,26,117417,22.1,20.6
,"Iredell County, NC",37097,24,181806,13.2,12.4
,"Johnston County, NC",37101,24,209339,11.5,11.1
,"Lenoir County, NC",37107,10,55949,Unreliable,Unreliable
,"Lincoln County, NC",37109,19,86111,Unreliable,Unreliable
,"Mecklenburg County, NC",37119,96,1110356,8.6,8.4
,"Moore County, NC",37125,15,100880,Unreliable,Unreliable
,"Nash County, NC",37127,15,94298,Unreliable,Unreliable
,"New Hanover County, NC",37129,46,234473,19.6,18.5
,"Onslow County, NC",37133,36,197938,18.2,18
,"Orange County, NC",37135,20,148476,13.5,13
,"Pender County, NC",37141,17,63060,Unreliable,Unreliable
,"Pitt County, NC",37147,20,180742,11.1,11.6
,"Randolph County, NC",37151,16,143667,Unreliable,Unreliable
,"Robeson County, NC",37155,14,130625,Unreliable,Unreliable
,"Rockingham County, NC",37157,16,91010,Unreliable,Unreliable
,"Rowan County, NC",37159,17,142088,Unreliable,Unreliable
,"Rutherford County, NC",37161,12,67029,Unreliable,Unreliable
,"Surry County, NC",37171,10,71783,Unreliable,Unreliable
,"Union County, NC",37179,25,239859,10.4,10
,"Wake County, NC",37183,109,1111761,9.8,9.7
,"Watauga County, NC",37189,12,56177,Unreliable,Unreliable
,"Wayne County, NC",37191,16,123131,Unreliable,Unreliable
,"Wilkes County, NC",37193,16,68412,Unreliable,Unreliable
,"Burleigh County, ND",38015,12,95626,Unreliable,Unreliable
,"Cass County, ND",38017,34,181923,18.7,18.9
,"Ward County, ND",38101,14,67641,Unreliable,Unreliable
,"Ashtabula County, OH",39007,16,97241,Unreliable,Unreliable
,"Athens County, OH",39009,11,65327,Unreliable,Unreliable
,"Belmont County, OH",39013,10,67006,Unreliable,Unreliable
,"Butler County, OH",39017,53,383134,13.8,14.8
,"Champaign County, OH",39021,10,38885,Unreliable,Unreliable
,"Clark County, OH",39023,26,134083,19.4,19.6
,"Clermont County, OH",39025,43,206428,20.8,19.9
,"Columbiana County, OH",39029,21,101883,20.6,19
,"Coshocton County, OH",39031,10,36600,Unreliable,Unreliable
,"Crawford County, OH",39033,13,41494,Unreliable,Unreliable
,"Cuyahoga County, OH",39035,185,1235072,15,14.7
,"Delaware County, OH",39041,27,209177,12.9,13.3
,"Erie County, OH",39043,14,74266,Unreliable,Unreliable
,"Fairfield County, OH",39045,22,157574,14,13.8
,"Franklin County, OH",39049,153,1316756,11.6,11.4
,"Gallia County, OH",39053,10,29898,Unreliable,Unreliable
,"Geauga County, OH",39055,12,93649,Unreliable,Unreliable
,"Greene County, OH",39057,19,168937,Unreliable,Unreliable
,"Hamilton County, OH",39061,110,817473,13.5,13.6
,"Hancock County, OH",39063,14,75783,Unreliable,Unreliable
,"Huron County, OH",39077,14,58266,Unreliable,Unreliable
,"Jackson County, OH",39079,12,32413,Unreliable,Unreliable
,"Jefferson County, OH",39081,16,65325,Unreliable,Unreliable
,"Knox County, OH",39083,10,62322,Unreliable,Unreliable
,"Lake County, OH",39085,43,230149,18.7,16.8
,"Licking County, OH",39089,31,176862,17.5,18
,"Logan County, OH",39091,10,45672,Unreliable,Unreliable
,"Lorain County, OH",39093,51,309833,16.5,16.3
,"Lucas County, OH",39095,73,428348,17,17.1
,"Mahoning County, OH",39099,37,228683,16.2,14.8
,"Marion County, OH",39101,18,65093,Unreliable,Unreliable
,"Medina County, OH",39103,31,179746,17.2,16.2
,"Miami County, OH",39109,12,106987,Unreliable,Unreliable
,"Montgomery County, OH",39113,91,531687,17.1,16.6
,"Muskingum County, OH",39119,17,86215,Unreliable,Unreliable
,"Ottawa County, OH",39123,11,40525,Unreliable,Unreliable
,"Pickaway County, OH",39129,10,58457,Unreliable,Unreliable
,"Portage County, OH",39133,23,162466,14.2,14
,"Richland County, OH",39139,11,121154,Unreliable,Unreliable
,"Ross County, OH",39141,10,76666,Unreliable,Unreliable
,"Scioto County, OH",39145,13,75314,Unreliable,Unreliable
,"Seneca County, OH",39147,14,55178,Unreliable,Unreliable
,"Stark County, OH",39151,73,370606,19.7,19.8
,"Summit County, OH",39153,90,541013,16.6,16.8
,"Trumbull County, OH",39155,36,197974,18.2,16.8
,"Tuscarawas County, OH",39157,11,91987,Unreliable,Unreliable
,"Warren County, OH",39165,31,234602,13.2,12.6
,"Washington County, OH",39167,11,59911,Unreliable,Unreliable
,"Wayne County, OH",39169,24,115710,20.7,21.1
,"Wood County, OH",39173,11,130817,Unreliable,Unreliable
,"Bryan County, OK",40013,11,47995,Unreliable,Unreliable
,"Caddo County, OK",40015,10,28762,Unreliable,Unreliable
,"Canadian County, OK",40017,26,148306,17.5,17.6
,"Carter County, OK",40019,11,48111,Unreliable,Unreliable
,"Cleveland County, OK",40027,58,284014,20.4,19.3
,"Comanche County, OK",40031,17,120749,Unreliable,Unreliable
,"Creek County, OK",40037,17,71522,Unreliable,Unreliable
,"Custer County, OK",40039,10,29003,Unreliable,Unreliable
,"Garfield County, OK",40047,10,61056,Unreliable,Unreliable
,"Grady County, OK",40051,10,55834,Unreliable,Unreliable
,"Kay County, OK",40071,12,43538,Unreliable,Unreliable
,"McCurtain County, OK",40089,10,32832,Unreliable,Unreliable
,"Muskogee County, OK",40101,13,67997,Unreliable,Unreliable
,"Oklahoma County, OK",40109,174,797434,21.8,21.2
,"Okmulgee County, OK",40111,13,38465,Unreliable,Unreliable
,"Osage County, OK",40113,18,46963,Unreliable,Unreliable
,"Ottawa County, OK",40115,10,31127,Unreliable,Unreliable
,"Payne County, OK",40119,14,81784,Unreliable,Unreliable
,"Pittsburg County, OK",40121,11,43654,Unreliable,Unreliable
,"Pontotoc County, OK",40123,10,38284,Unreliable,Unreliable
,"Pottawatomie County, OK",40125,13,72592,Unreliable,Unreliable
,"Rogers County, OK",40131,16,92459,Unreliable,Unreliable
,"Stephens County, OK",40137,11,43143,Unreliable,Unreliable
,"Tulsa County, OK",40143,111,651552,17,17.5
,"Wagoner County, OK",40145,18,81289,Unreliable,Unreliable
,"Washington County, OK",40147,12,51527,Unreliable,Unreliable
,"Clackamas County, OR",41005,80,418187,19.1,18.4
,"Coos County, OR",41011,24,64487,37.2,29.7
,"Crook County, OR",41013,10,24404,Unreliable,Unreliable
,"Deschutes County, OR",41017,32,197692,16.2,16.1
,"Douglas County, OR",41019,47,110980,42.3,41.9
,"Jackson County, OR",41029,74,220944,33.5,31.6
,"Josephine County, OR",41033,23,87487,26.3,25
,"Klamath County, OR",41035,31,68238,45.4,48.6
,"Lane County, OR",41039,106,382067,27.7,27.1
,"Lincoln County, OR",41041,22,49962,44,44
,"Linn County, OR",41043,30,129749,23.1,22.3
,"Marion County, OR",41047,52,347818,15,14.8
,"Multnomah County, OR",41051,162,812855,19.9,18.5
,"Polk County, OR",41053,16,86085,Unreliable,Unreliable
,"Umatilla County, OR",41059,10,77950,Unreliable,Unreliable
,"Washington County, OR",41067,95,601592,15.8,14.9
,"Yamhill County, OR",41071,17,107100,Unreliable,Unreliable
,"Adams County, PA",42001,10,103009,Unreliable,Unreliable
,"Allegheny County, PA",42003,187,1216045,15.4,14.6
,"Armstrong County, PA",42005,12,64735,Unreliable,Unreliable
,"Beaver County, PA",42007,25,163929,15.3,13.5
,"Bedford County, PA",42009,13,47888,Unreliable,Unreliable
,"Berks County, PA",42011,72,421164,17.1,16.4
,"Blair County, PA",42013,20,121829,16.4,17.7
,"Bradford County, PA",42015,10,60323,Unreliable,Unreliable
,"Bucks County, PA",42017,103,628270,16.4,15.4
,"Butler County, PA",42019,29,187853,15.4,15.7
,"Cambria County, PA",42021,22,130192,16.9,17.2
,"Carbon County, PA",42025,13,64182,Unreliable,Unreliable
,"Centre County, PA",42027,25,162385,15.4,16.2
,"Chester County, PA",42029,60,524989,11.4,10.8
,"Clearfield County, PA",42033,18,79255,Unreliable,Unreliable
,"Clinton County, PA",42035,10,38632,Unreliable,Unreliable
,"Columbia County, PA",42037,20,64964,30.8,25.8
,"Crawford County, PA",42039,15,84629,Unreliable,Unreliable
,"Cumberland County, PA",42041,27,253370,10.7,10.3
,"Dauphin County, PA",42043,35,278299,12.6,12.1
,"Delaware County, PA",42045,85,566747,15,13.8
,"Erie County, PA",42049,47,269728,17.4,15.3
,"Fayette County, PA",42051,23,129274,17.8,16.2
,"Franklin County, PA",42055,24,155027,15.5,14.6
,"Greene County, PA",42059,10,36233,Unreliable,Unreliable
,"Indiana County, PA",42063,10,84073,Unreliable,Unreliable
,"Lackawanna County, PA",42069,33,209674,15.7,14.3
,"Lancaster County, PA",42071,55,545724,10.1,9.4
,"Lawrence County, PA",42073,24,85512,28.1,27.3
,"Lebanon County, PA",42075,19,141793,Unreliable,Unreliable
,"Lehigh County, PA",42077,44,369318,11.9,10.7
,"Luzerne County, PA",42079,64,317417,20.2,17.9
,"Lycoming County, PA",42081,16,113299,Unreliable,Unreliable
,"Mercer County, PA",42085,20,109424,18.3,20.6
,"Monroe County, PA",42089,23,170271,13.5,12.4
,"Montgomery County, PA",42091,112,830915,13.5,12.3
,"Northampton County, PA",42095,37,305285,12.1,10.2
,"Northumberland County, PA",42097,14,90843,Unreliable,Unreliable
,"Philadelphia County, PA",42101,168,1584064,10.6,10.5
,"Pike County, PA",42103,10,55809,Unreliable,Unreliable
,"Schuylkill County, PA",42107,32,141359,22.6,22
,"Somerset County, PA",42111,11,73447,Unreliable,Unreliable
,"Tioga County, PA",42117,11,40591,Unreliable,Unreliable
,"Washington County, PA",42125,38,206865,18.4,17.7
,"Wayne County, PA",42127,16,51361,Unreliable,Unreliable
,"Westmoreland County, PA",42129,55,348899,15.8,14.2
,"York County, PA",42133,73,449058,16.3,15.4
,"Kent County, RI",44003,15,164292,Unreliable,Unreliable
,"Newport County, RI",44005,12,82082,Unreliable,Unreliable
,"Providence County, RI",44007,73,638931,11.4,10.5
,"Washington County, RI",44009,14,125577,Unreliable,Unreliable
,"Aiken County, SC",45003,32,170872,18.7,19.1
,"Anderson County, SC",45007,33,202558,16.3,16.4
,"Beaufort County, SC",45013,26,192122,13.5,13.9
,"Berkeley County, SC",45015,42,227907,18.4,18.1
,"Charleston County, SC",45019,71,411406,17.3,15.8
,"Cherokee County, SC",45021,16,57300,Unreliable,Unreliable
,"Chesterfield County, SC",45025,11,45650,Unreliable,Unreliable
,"Clarendon County, SC",45027,12,33745,Unreliable,Unreliable
,"Darlington County, SC",45031,13,66618,Unreliable,Unreliable
,"Dorchester County, SC",45035,21,162809,12.9,13
,"Florence County, SC",45041,18,138293,Unreliable,Unreliable
,"Georgetown County, SC",45043,10,62680,Unreliable,Unreliable
,"Greenville County, SC",45045,86,523542,16.4,16.2
,"Greenwood County, SC",45047,15,70811,Unreliable,Unreliable
,"Horry County, SC",45051,51,354081,14.4,13.9
,"Kershaw County, SC",45055,18,66551,Unreliable,Unreliable
,"Lancaster County, SC",45057,14,98012,Unreliable,Unreliable
,"Laurens County, SC",45059,14,67493,Unreliable,Unreliable
,"Lexington County, SC",45063,47,298750,15.7,14.3
,"Oconee County, SC",45073,14,79546,Unreliable,Unreliable
,"Pickens County, SC",45077,30,126884,23.6,24
,"Richland County, SC",45079,57,415759,13.7,13.4
,"Spartanburg County, SC",45083,57,319785,17.8,17.1
,"Sumter County, SC",45085,15,106721,Unreliable,Unreliable
,"York County, SC",45091,50,280979,17.8,17.2
,"Minnehaha County, SD",46099,33,193134,17.1,17.5
,"Pennington County, SD",46103,30,113775,26.4,24.3
,"Anderson County, TN",47001,25,76978,32.5,34.4
,"Blount County, TN",47009,18,133088,Unreliable,Unreliable
,"Bradley County, TN",47011,18,108110,Unreliable,Unreliable
,"Campbell County, TN",47013,10,39842,Unreliable,Unreliable
,"Carter County, TN",47019,14,56391,Unreliable,Unreliable
,"Cocke County, TN",47029,11,36004,Unreliable,Unreliable
,"Coffee County, TN",47031,15,56520,Unreliable,Unreliable
,"Cumberland County, TN",47035,12,60520,Unreliable,Unreliable
,"Davidson County, TN",47037,90,694144,13,12.5
,"Dickson County, TN",47043,13,53948,Unreliable,Unreliable
,"Franklin County, TN",47051,12,42208,Unreliable,Unreliable
,"Gibson County, TN",47053,12,49133,Unreliable,Unreliable
,"Greene County, TN",47059,17,69069,Unreliable,Unreliable
,"Hamblen County, TN",47063,14,64934,Unreliable,Unreliable
,"Hamilton County, TN",47065,61,367804,16.6,16.1
,"Hardin County, TN",47071,10,25652,Unreliable,Unreliable
,"Hawkins County, TN",47073,16,56786,Unreliable,Unreliable
,"Henry County, TN",47079,10,32345,Unreliable,Unreliable
,"Jefferson County, TN",47089,20,54495,36.7,34
,"Knox County, TN",47093,81,470313,17.2,16.7
,"Loudon County, TN",47105,10,54068,Unreliable,Unreliable
,"Madison County, TN",47113,10,97984,Unreliable,Unreliable
,"Maury County, TN",47119,16,96387,Unreliable,Unreliable
,"Montgomery County, TN",47125,33,208993,15.8,17.3
,"Putnam County, TN",47141,16,80245,Unreliable,Unreliable
,"Roane County, TN",47145,10,53382,Unreliable,Unreliable
,"Robertson County, TN",47147,17,71813,Unreliable,Unreliable
,"Rutherford County, TN",47149,47,332285,14.1,14.2
,"Sevier County, TN",47155,24,98250,24.4,25.8
,"Shelby County, TN",47157,114,937166,12.2,12.1
,"Sullivan County, TN",47163,38,158348,24,21.8
,"Sumner County, TN",47165,30,191283,15.7,15.4
,"Tipton County, TN",47167,12,61599,Unreliable,Unreliable
,"Washington County, TN",47179,33,129375,25.5,23.4
,"Williamson County, TN",47187,29,238412,12.2,11.6
,"Wilson County, TN",47189,33,144657,22.8,22.9
,"Anderson County, TX",48001,17,57735,Unreliable,Unreliable
,"Angelina County, TX",48005,11,86715,Unreliable,Unreliable
,"Aransas County, TX",48007,10,23510,Unreliable,Unreliable
,"Bastrop County, TX",48021,12,88723,Unreliable,Unreliable
,"Bell County, TX",48027,71,362924,19.6,18.9
,"Bexar County, TX",48029,245,2003554,12.2,12.2
,"Bowie County, TX",48037,19,93245,Unreliable,Unreliable
,"Brazoria County, TX",48039,42,374264,11.2,11
,"Brazos County, TX",48041,22,229211,9.6,9.5
,"Burnet County, TX",48053,10,48155,Unreliable,Unreliable
,"Cameron County, TX",48061,29,423163,6.9,7.2
,"Cherokee County, TX",48073,10,52646,Unreliable,Unreliable
,"Collin County, TX",48085,111,1034730,10.7,10.9
,"Comal County, TX",48091,40,156209,25.6,25.8
,"Coryell County, TX",48099,15,75951,Unreliable,Unreliable
,"Dallas County, TX",48113,286,2635516,10.9,11
,"Denton County, TX",48121,112,887207,12.6,12.2
,"Ector County, TX",48135,21,166223,12.6,13.8
,"Ellis County, TX",48139,30,184826,16.2,16.6
,"El Paso County, TX",48141,100,839238,11.9,12.2
,"Fort Bend County, TX",48157,73,811688,9,8.8
,"Galveston County, TX",48167,53,342139,15.5,14.4
,"Grayson County, TX",48181,29,136212,21.3,21.8
,"Gregg County, TX",48183,22,123945,17.7,18.3
,"Guadalupe County, TX",48187,17,166847,Unreliable,Unreliable
,"Hardin County, TX",48199,14,57602,Unreliable,Unreliable
,"Harris County, TX",48201,507,4713325,10.8,10.7
,"Harrison County, TX",48203,14,66553,Unreliable,Unreliable
,"Hays County, TX",48209,29,230191,12.6,11.2
,"Henderson County, TX",48213,21,82737,25.4,22.4
,"Hidalgo County, TX",48215,65,868707,7.5,8
,"Hill County, TX",48217,12,36649,Unreliable,Unreliable
,"Hood County, TX",48221,11,61643,Unreliable,Unreliable
,"Howard County, TX",48227,10,36664,Unreliable,Unreliable
,"Hunt County, TX",48231,11,98594,Unreliable,Unreliable
,"Jefferson County, TX",48245,39,251565,15.5,15.9
,"Johnson County, TX",48251,26,175817,14.8,15.8
,"Kaufman County, TX",48257,19,136154,Unreliable,Unreliable
,"Kerr County, TX",48265,14,52600,Unreliable,Unreliable
,"Lamar County, TX",48277,11,49859,Unreliable,Unreliable
,"Liberty County, TX",48291,21,88219,23.8,23.3
,"Lubbock County, TX",48303,53,310569,17.1,17.4
,"McLennan County, TX",48309,41,256623,16,16.6
,"Medina County, TX",48325,10,51584,Unreliable,Unreliable
,"Midland County, TX",48329,34,176832,19.2,20.6
,"Montgomery County, TX",48339,109,607391,17.9,18.2
,"Nacogdoches County, TX",48347,12,65204,Unreliable,Unreliable
,"Nueces County, TX",48355,55,362294,15.2,15
,"Orange County, TX",48361,12,83396,Unreliable,Unreliable
,"Parker County, TX",48367,24,142878,16.8,15.9
,"Polk County, TX",48373,14,51353,Unreliable,Unreliable
,"Potter County, TX",48375,31,117415,26.4,26.5
,"Randall County, TX",48381,31,137713,22.5,22.4
,"Rockwall County, TX",48397,16,104915,Unreliable,Unreliable
,"Rusk County, TX",48401,10,54406,Unreliable,Unreliable
,"San Patricio County, TX",48409,14,66730,Unreliable,Unreliable
,"Smith County, TX",48423,53,232751,22.8,23.1
,"Tarrant County, TX",48439,264,2102515,12.6,12.7
,"Taylor County, TX",48441,23,138034,16.7,16.6
,"Tom Green County, TX",48451,23,119200,19.3,19.5
,"Travis County, TX",48453,166,1273954,13,12.6
,"Victoria County, TX",48469,17,92084,Unreliable,Unreliable
,"Webb County, TX",48479,20,276652,7.2,7.6
,"Wharton County, TX",48481,10,41556,Unreliable,Unreliable
,"Wichita County, TX",48485,19,132230,Unreliable,Unreliable
,"Williamson County, TX",48491,85,590551,14.4,14.5
,"Wise County, TX",48497,13,69984,Unreliable,Unreliable
,"Box Elder County, UT",49003,16,56046,Unreliable,Unreliable
,"Cache County, UT",49005,24,128289,18.7,20.5
,"Davis County, UT",49011,62,355481,17.4,18.6
,"Salt Lake County, UT",49035,258,1160437,22.2,22.2
,"Sevier County, UT",49041,10,21620,Unreliable,Unreliable
,"Tooele County, UT",49045,13,72259,Unreliable,Unreliable
,"Uintah County, UT",49047,12,35734,Unreliable,Unreliable
,"Utah County, UT",49049,105,636235,16.5,17.3
,"Washington County, UT",49053,32,177556,18,19.6
,"Weber County, UT",49057,55,260213,21.1,22
,"Chittenden County, VT",50007,16,163774,Unreliable,Unreliable
,"Franklin County, VT",50011,14,49402,Unreliable,Unreliable
,"Orange County, VT",50017,10,28892,Unreliable,Unreliable
,"Rutland County, VT",50021,11,58191,Unreliable,Unreliable
,"Windsor County, VT",50027,11,55062,Unreliable,Unreliable
,"Albemarle County, VA",51003,14,109330,Unreliable,Unreliable
,"Arlington County, VA",51013,13,236842,Unreliable,Unreliable
,"Augusta County, VA",51015,15,75558,Unreliable,Unreliable
,"Bedford County, VA",51019,15,78997,Unreliable,Unreliable
,"Chesterfield County, VA",51041,48,352802,13.6,13.1
,"Culpeper County, VA",51047,10,52605,Unreliable,Unreliable
,"Fairfax County, VA",51059,92,1147532,8,7.8
,"Frederick County, VA",51069,18,89313,Unreliable,Unreliable
,"Hanover County, VA",51085,23,107766,21.3,19.1
,"Henrico County, VA",51087,36,330818,10.9,9.9
,"Henry County, VA",51089,12,50557,Unreliable,Unreliable
,"Loudoun County, VA",51107,34,413538,8.2,9
,"Louisa County, VA",51109,12,37591,Unreliable,Unreliable
,"Montgomery County, VA",51121,16,98535,Unreliable,Unreliable
,"Pittsylvania County, VA",51143,13,60354,Unreliable,Unreliable
,"Prince William County, VA",51153,39,470335,8.3,8.4
,"Rockingham County, VA",51165,14,81948,Unreliable,Unreliable
,"Scott County, VA",51169,10,21566,Unreliable,Unreliable
,"Spotsylvania County, VA",51177,18,136215,Unreliable,Unreliable
,"Stafford County, VA",51179,12,152882,Unreliable,Unreliable
,"Tazewell County, VA",51185,10,40595,Unreliable,Unreliable
,"Warren County, VA",51187,15,40164,Unreliable,Unreliable
,"Alexandria city, VA",51510,14,159428,Unreliable,Unreliable
,"Chesapeake city, VA",51550,43,244835,17.6,17.4
,"Hampton city, VA",51650,21,134510,15.6,15.2
,"Hopewell city, VA",51670,11,22529,Unreliable,Unreliable
,"Newport News city, VA",51700,25,179225,13.9,13.4
,"Norfolk city, VA",51710,33,242742,13.6,13
,"Portsmouth city, VA",51740,12,94398,Unreliable,Unreliable
,"Richmond city, VA",51760,28,230436,12.2,12.6
,"Roanoke city, VA",51770,18,99143,Unreliable,Unreliable
,"Suffolk city, VA",51800,11,92108,Unreliable,Unreliable
,"Virginia Beach city, VA",51810,57,449974,12.7,12.3
,"Benton County, WA",53005,35,204390,17.1,17.9
,"Chelan County, WA",53007,20,77200,25.9,27.4
,"Clallam County, WA",53009,17,77331,Unreliable,Unreliable
,"Clark County, WA",53011,88,488241,18,17.3
,"Cowlitz County, WA",53015,24,110593,21.7,22
,"Grant County, WA",53025,16,97733,Unreliable,Unreliable
,"Grays Harbor County, WA",53027,13,75061,Unreliable,Unreliable
,"Island County, WA",53029,15,85141,Unreliable,Unreliable
,"Jefferson County, WA",53031,12,32221,Unreliable,Unreliable
,"King County, WA",53033,319,2252782,14.2,13.5
,"Kitsap County, WA",53035,59,271473,21.7,21.1
,"Lewis County, WA",53041,18,80707,Unreliable,Unreliable
,"Mason County, WA",53045,11,66768,Unreliable,Unreliable
,"Pierce County, WA",53053,182,904980,20.1,19.5
,"Skagit County, WA",53057,20,129205,15.5,15.5
,"Snohomish County, WA",53061,111,822083,13.5,12.9
,"Spokane County, WA",53063,91,522798,17.4,16.8
,"Thurston County, WA",53067,46,290536,15.8,14.4
,"Walla Walla County, WA",53071,14,60760,Unreliable,Unreliable
,"Whatcom County, WA",53073,51,229247,22.2,21.8
,"Yakima County, WA",53077,29,250873,11.6,12
,"Berkeley County, WV",54003,24,119171,20.1,19.3
,"Cabell County, WV",54011,13,91945,Unreliable,Unreliable
,"Harrison County, WV",54033,17,67256,Unreliable,Unreliable
,"Kanawha County, WV",54039,30,178124,16.8,15.4
,"Marshall County, WV",54051,10,30531,Unreliable,Unreliable
,"Monongalia County, WV",54061,10,105612,Unreliable,Unreliable
,"Nicholas County, WV",54067,10,24496,Unreliable,Unreliable
