"","State","County","Days.with.AQI","Good.Days","Moderate.Days","Unhealthy.for.Sensitive.Groups.Days","Unhealthy.Days","Very.Unhealthy.Days","Hazardous.Days","Max.AQI","X90th.Percentile.AQI","Median.AQI","Days.CO","Days.NO2","Days.Ozone","Days.SO2","Days.PM2.5","Days.PM10"
"68","CA","Lake County",360,360,0,0,0,0,0,50,41,31,0,0,356,0,3,1
"69","CA","Los Angeles County",365,66,213,57,28,1,0,201,136,71,0,36,197,0,124,8
"70","CA","Madera County",365,189,163,13,0,0,0,140,84,50,0,0,259,0,67,39
"71","CA","Marin County",363,337,25,1,0,0,0,133,48,33,0,15,221,0,127,0
"72","CA","Mariposa County",365,221,130,9,5,0,0,176,84,47,0,0,296,0,68,1
"73","CA","Mendocino County",361,334,27,0,0,0,0,77,47,33,0,0,229,0,120,12
"74","CA","Merced County",365,213,145,7,0,0,0,119,79,48,0,0,250,0,113,2
"75","CA","Mono County",365,270,80,6,0,0,9,3852,81,27,0,0,0,0,305,60
"76","CA","Monterey County",365,330,34,1,0,0,0,144,50,37,2,0,288,0,61,14
"77","CA","Napa County",363,330,31,2,0,0,0,119,49,35,2,0,265,0,96,0
"78","CA","Nevada County",361,273,83,5,0,0,0,122,71,44,0,0,326,0,35,0
"79","CA","Orange County",365,216,133,15,1,0,0,172,87,48,0,13,262,0,83,7
"80","CA","Placer County",365,239,117,9,0,0,0,136,77,45,0,2,284,0,77,2
"81","CA","Plumas County",341,248,88,5,0,0,0,138,68,25,0,0,0,0,341,0
"82","CA","Riverside County",365,75,170,91,29,0,0,185,147,77,0,0,247,0,70,48
"83","CA","Sacramento County",365,213,142,10,0,0,0,140,84,46,0,1,240,0,116,8
"84","CA","San Benito County",365,326,39,0,0,0,0,90,51,38,0,0,347,0,11,7
"85","CA","San Bernardino County",365,55,177,71,54,8,0,213,169,80,0,16,246,0,96,7
"86","CA","San Diego County",365,87,253,23,2,0,0,169,93,64,0,2,176,0,184,3
"87","CA","San Francisco County",365,313,51,1,0,0,0,108,52,36,0,28,172,0,165,0
"88","CA","San Joaquin County",365,231,122,11,1,0,0,190,80,44,0,3,236,0,109,17
"89","CA","San Luis Obispo County",365,230,132,3,0,0,0,108,74,46,0,0,282,0,45,38
"90","CA","San Mateo County",365,327,36,2,0,0,0,122,51,35,0,21,209,0,135,0
"91","CA","Santa Barbara County",365,286,78,1,0,0,0,105,59,43,0,0,295,0,57,13
"92","CA","Santa Clara County",365,271,90,4,0,0,0,136,66,41,0,7,218,0,139,1
"93","CA","Santa Cruz County",365,347,18,0,0,0,0,70,46,35,0,0,262,0,103,0
"94","CA","Shasta County",364,311,53,0,0,0,0,100,54,42,0,0,352,0,10,2
"95","CA","Siskiyou County",365,332,29,2,2,0,0,161,49,36,0,0,262,0,103,0
"96","CA","Solano County",365,290,74,1,0,0,0,119,59,40,0,2,225,0,138,0
"97","CA","Sonoma County",365,348,17,0,0,0,0,87,44,33,0,3,258,0,94,10
"98","CA","Stanislaus County",365,201,141,22,1,0,0,177,91,49,0,0,245,0,107,13
