"","State","County","County.Code","Deaths","Population","Crude.Rate","Age.Adjusted.Rate"
"270"," IN","Henry County",18065,10,47972,NA,NA
"271"," IN","Howard County",18067,12,82544,NA,NA
"272"," IN","Johnson County",18081,24,158167,"15.2","14.7"
"273"," IN","Lake County",18089,50,485493,"10.3","10"
"274"," IN","La Porte County",18091,21,109888,"19.1","16.7"
"275"," IN","Madison County",18095,29,129569,"22.4","22.7"
"276"," IN","Marion County",18097,125,964582,"13","13"
"277"," IN","Monroe County",18105,19,148431,NA,NA
"278"," IN","Morgan County",18109,17,70489,NA,NA
"279"," IN","Porter County",18127,26,170389,"15.3","13.8"
"280"," IN","St. Joseph County",18141,45,271826,"16.6","16.6"
"281"," IN","Tippecanoe County",18157,26,195732,"13.3","11.9"
"282"," IN","Vanderburgh County",18163,35,181451,"19.3","19.7"
"283"," IN","Vigo County",18167,14,107038,NA,NA
"284"," IN","Warrick County",18173,10,62998,NA,NA
"285"," IN","Wayne County",18177,12,65884,NA,NA
"286"," IA","Black Hawk County",19013,22,131228,"16.8","18.3"
"287"," IA","Cerro Gordo County",19033,12,42450,NA,NA
"288"," IA","Dallas County",19049,12,93453,NA,NA
"289"," IA","Dubuque County",19061,16,97311,NA,NA
"290"," IA","Johnson County",19103,10,151140,NA,NA
"291"," IA","Lee County",19111,12,33657,NA,NA
"292"," IA","Linn County",19113,45,226706,"19.8","19.9"
"293"," IA","Polk County",19153,95,490161,"19.4","19"
"294"," IA","Pottawattamie County",19155,23,93206,"24.7","23.6"
"295"," IA","Scott County",19163,28,172943,"16.2","16.5"
"296"," IA","Story County",19169,14,97117,NA,NA
"297"," IA","Wapello County",19179,14,34969,NA,NA
"298"," IA","Woodbury County",19193,14,103107,NA,NA
"299"," KS","Crawford County",20037,10,38818,NA,NA
"300"," KS","Douglas County",20045,14,122259,NA,NA
"301"," KS","Johnson County",20091,89,602401,"14.8","14.4"
"302"," KS","Leavenworth County",20103,10,81758,NA,NA
"303"," KS","Reno County",20155,18,61998,NA,NA
"304"," KS","Saline County",20169,11,54224,NA,NA
"305"," KS","Sedgwick County",20173,98,516042,"19","19.7"
"306"," KS","Shawnee County",20177,35,176875,"19.8","20.7"
"307"," KS","Wyandotte County",20209,23,165429,"13.9","14.4"
"308"," KY","Barren County",21009,10,44249,NA,NA
"309"," KY","Boone County",21015,17,133581,NA,NA
"310"," KY","Bullitt County",21029,14,81676,NA,NA
"311"," KY","Calloway County",21035,13,39001,NA,NA
"312"," KY","Campbell County",21037,13,93584,NA,NA
"313"," KY","Daviess County",21059,12,101511,NA,NA
"314"," KY","Fayette County",21067,36,323152,"11.1","10.2"
"315"," KY","Hardin County",21093,24,110958,"21.6","23"
"316"," KY","Hopkins County",21107,13,44686,NA,NA
"317"," KY","Jefferson County",21111,126,766757,"16.4","16.3"
"318"," KY","Kenton County",21117,32,166998,"19.2","18.6"
"319"," KY","McCracken County",21145,14,65418,NA,NA
"320"," KY","Madison County",21151,12,92987,NA,NA
"321"," KY","Pulaski County",21199,14,64979,NA,NA
"322"," KY","Warren County",21227,23,132896,"17.3","16.8"
"323"," LA","Acadia Parish",22001,11,62045,NA,NA
"324"," LA","Ascension Parish",22005,14,126604,NA,NA
"325"," LA","Bossier Parish",22015,18,127039,NA,NA
"326"," LA","Caddo Parish",22017,33,240204,"13.7","12.9"
"327"," LA","Calcasieu Parish",22019,48,203436,"23.6","23.9"
"328"," LA","East Baton Rouge Parish",22033,66,440059,"15","15.4"
"329"," LA","Jefferson Parish",22051,65,432493,"15","14.4"
"330"," LA","Lafayette Parish",22055,35,244390,"14.3","13.7"
"331"," LA","Lafourche Parish",22057,16,97614,NA,NA
"332"," LA","Livingston Parish",22063,21,140789,"14.9","14.3"
"333"," LA","Orleans Parish",22071,41,390144,"10.5","10.1"
"334"," LA","Ouachita Parish",22073,23,153279,"15","14.7"
"335"," LA","Plaquemines Parish",22075,10,23197,NA,NA
"336"," LA","Rapides Parish",22079,23,129648,"17.7","18.1"
"337"," LA","St. Landry Parish",22097,14,82124,NA,NA
"338"," LA","St. Martin Parish",22099,11,53431,NA,NA
"339"," LA","St. Tammany Parish",22103,49,260419,"18.8","19"
"340"," LA","Tangipahoa Parish",22105,14,134758,NA,NA
"341"," LA","Terrebonne Parish",22109,15,110461,NA,NA
"342"," LA","Vermilion Parish",22113,10,59511,NA,NA
"343"," ME","Androscoggin County",23001,25,108277,"23.1","22.4"
"344"," ME","Cumberland County",23005,42,295003,"14.2","12.7"
"345"," ME","Hancock County",23009,15,54987,NA,NA
"346"," ME","Kennebec County",23011,17,122302,NA,NA
"347"," ME","Knox County",23013,11,39772,NA,NA
"348"," ME","Lincoln County",23015,10,34634,NA,NA
"349"," ME","Oxford County",23017,18,57975,NA,NA
"350"," ME","Penobscot County",23019,20,152148,"13.1","11.2"
"351"," ME","Somerset County",23025,20,50484,"39.6","32"
"352"," ME","York County",23031,56,207641,"27","26.5"
"353"," MD","Allegany County",24001,10,70416,NA,NA
"354"," MD","Anne Arundel County",24003,74,579234,"12.8","12"
"355"," MD","Baltimore County",24005,102,827370,"12.3","11.5"
"356"," MD","Calvert County",24009,11,92525,NA,NA
"357"," MD","Carroll County",24013,19,168447,NA,NA
"358"," MD","Cecil County",24015,25,102855,"24.3","23.6"
"359"," MD","Charles County",24017,16,163257,NA,NA
"360"," MD","Frederick County",24021,34,259547,"13.1","12.5"
"361"," MD","Harford County",24025,28,255441,"11","10.4"
"362"," MD","Howard County",24027,39,325690,"12","11.8"
"363"," MD","Montgomery County",24031,82,1050688,"7.8","7.4"
"364"," MD","Prince George's County",24033,65,909327,"7.1","6.9"
"365"," MD","St. Mary's County",24037,13,113510,NA,NA
"366"," MD","Washington County",24043,27,151049,"17.9","17.6"
"367"," MD","Wicomico County",24045,13,103609,NA,NA
"368"," MD","Baltimore city",24510,55,593490,"9.3","9.1"
"369"," MA","Barnstable County",25001,23,212990,"10.8","10.2"
"370"," MA","Berkshire County",25003,23,124944,"18.4","18.7"
"371"," MA","Bristol County",25005,66,565217,"11.7","11.7"
"372"," MA","Essex County",25009,75,789034,"9.5","8.8"
"373"," MA","Franklin County",25011,15,70180,NA,NA
"374"," MA","Hampden County",25013,45,466372,"9.6","8.8"
"375"," MA","Hampshire County",25015,19,160830,NA,NA
"376"," MA","Middlesex County",25017,127,1611699,"7.9","7.2"
"377"," MA","Norfolk County",25021,56,706775,"7.9","6.9"
"378"," MA","Plymouth County",25023,51,521202,"9.8","9.5"
"379"," MA","Suffolk County",25025,52,803907,"6.5","6.2"
"380"," MA","Worcester County",25027,91,830622,"11","10.2"
"381"," MI","Allegan County",26005,16,118081,NA,NA
"382"," MI","Barry County",26015,10,61550,NA,NA
"383"," MI","Bay County",26017,19,103126,NA,NA
"384"," MI","Berrien County",26021,24,153401,"15.6","14.9"
"385"," MI","Branch County",26023,11,43517,NA,NA
"386"," MI","Calhoun County",26025,26,134159,"19.4","20.4"
"387"," MI","Cass County",26027,14,51787,NA,NA
"388"," MI","Clinton County",26037,10,79595,NA,NA
"389"," MI","Delta County",26041,10,35784,NA,NA
"390"," MI","Eaton County",26045,18,110268,NA,NA
"391"," MI","Genesee County",26049,56,405813,"13.8","13.2"
"392"," MI","Grand Traverse County",26055,16,93088,NA,NA
"393"," MI","Hillsdale County",26059,12,45605,NA,NA
"394"," MI","Ingham County",26065,42,292406,"14.4","14"
"395"," MI","Jackson County",26075,38,158510,"24","23.6"
"396"," MI","Kalamazoo County",26077,39,265066,"14.7","13.8"
"397"," MI","Kent County",26081,75,656955,"11.4","11.4"
"398"," MI","Lapeer County",26087,15,87607,NA,NA
"399"," MI","Lenawee County",26091,13,98451,NA,NA
"400"," MI","Livingston County",26093,29,191995,"15.1","15.6"
"401"," MI","Macomb County",26099,151,873972,"17.3","16.3"
"402"," MI","Marquette County",26103,16,66699,NA,NA
"403"," MI","Midland County",26111,10,83156,NA,NA
"404"," MI","Monroe County",26115,20,150500,"13.3","11.3"
"405"," MI","Montcalm County",26117,16,63888,NA,NA
"406"," MI","Muskegon County",26121,23,173566,"13.3","13.4"
"407"," MI","Oakland County",26125,157,1257584,"12.5","11.4"
"408"," MI","Ottawa County",26139,26,291830,"8.9","9.2"
"409"," MI","Saginaw County",26145,38,190539,"19.9","17.9"
"410"," MI","St. Clair County",26147,40,159128,"25.1","25.6"
"411"," MI","St. Joseph County",26149,13,60964,NA,NA
"412"," MI","Tuscola County",26157,11,52245,NA,NA
"413"," MI","Van Buren County",26159,12,75677,NA,NA
"414"," MI","Washtenaw County",26161,50,367601,"13.6","13"
"415"," MI","Wayne County",26163,211,1749343,"12.1","11.9"
"416"," MN","Anoka County",27003,36,356921,"10.1","10.6"
"417"," MN","Becker County",27005,11,34423,NA,NA
"418"," MN","Beltrami County",27007,16,47188,NA,NA
"419"," MN","Carver County",27019,13,105089,NA,NA
"420"," MN","Crow Wing County",27035,13,65055,NA,NA
"421"," MN","Dakota County",27037,54,429021,"12.6","12.5"
"422"," MN","Douglas County",27041,10,38141,NA,NA
"423"," MN","Hennepin County",27053,165,1265843,"13","12.3"
"424"," MN","Mower County",27099,11,40062,NA,NA
"425"," MN","Olmsted County",27109,22,158293,"13.9","13.5"
"426"," MN","Otter Tail County",27111,12,58746,NA,NA
"427"," MN","Ramsey County",27123,72,550321,"13.1","12.1"
"428"," MN","St. Louis County",27137,43,199070,"21.6","22.5"
"429"," MN","Scott County",27139,13,149013,NA,NA
"430"," MN","Sherburne County",27141,16,97238,NA,NA
"431"," MN","Stearns County",27145,18,161075,NA,NA
"432"," MN","Washington County",27163,40,262440,"15.2","15"
"433"," MN","Wright County",27171,17,138377,NA,NA
"434"," MS","DeSoto County",28033,24,184945,"13","13.2"
"435"," MS","Forrest County",28035,12,74897,NA,NA
"436"," MS","Harrison County",28047,36,208080,"17.3","17.1"
"437"," MS","Hinds County",28049,29,231840,"12.5","12.4"
"438"," MS","Jackson County",28059,26,143617,"18.1","18.3"
"439"," MS","Jones County",28067,11,68098,NA,NA
"440"," MS","Madison County",28089,13,106272,NA,NA
"441"," MS","Marshall County",28093,11,35294,NA,NA
"442"," MS","Rankin County",28121,21,155271,"13.5","13"
"443"," MO","Boone County",29019,30,180463,"16.6","17.5"
"444"," MO","Cape Girardeau County",29031,19,78871,NA,NA
"445"," MO","Cass County",29037,32,105780,"30.3","28.7"
"446"," MO","Christian County",29043,22,88595,"24.8","25.5"
"447"," MO","Clay County",29047,59,249948,"23.6","22.3"
"448"," MO","Cole County",29051,11,76745,NA,NA
"449"," MO","Franklin County",29071,20,103967,"19.2","19.8"
"450"," MO","Greene County",29077,65,293086,"22.2","22"
"451"," MO","Howell County",29091,12,40117,NA,NA
"452"," MO","Jackson County",29095,141,703011,"20.1","20.3"
"453"," MO","Jasper County",29097,20,121328,"16.5","16.1"
"454"," MO","Jefferson County",29099,55,225081,"24.4","24.2"
"455"," MO","Lincoln County",29113,13,59013,NA,NA
"456"," MO","Newton County",29145,14,58236,NA,NA
"457"," MO","Phelps County",29161,11,44573,NA,NA
"458"," MO","Platte County",29165,22,104418,"21.1","21.5"
"459"," MO","St. Charles County",29183,55,402022,"13.7","13.2"
"460"," MO","St. Francois County",29187,10,67215,NA,NA
"461"," MO","St. Louis County",29189,142,994205,"14.3","13.5"
"462"," MO","St. Louis city",29510,47,300576,"15.6","15.2"
"463"," MT","Cascade County",30013,23,81366,"28.3","26.4"
"464"," MT","Flathead County",30029,28,103806,"27","26.1"
"465"," MT","Gallatin County",30031,26,114434,"22.7","22.6"
"466"," MT","Missoula County",30063,22,119600,"18.4","16.4"
"467"," MT","Ravalli County",30081,14,43806,NA,NA
