"","State","County","Avg_Temperature","Total_Precipitation"
"2621","TX","Kent County",63.9,23.74
"2622","TX","Kerr County",65.7,22.7
"2623","TX","Kimble County",65.9,19.46
"2624","TX","King County",63.6,23.67
"2625","TX","Kinney County",69.6,22.09
"2626","TX","Kleberg County",74.3,15.75
"2627","TX","Knox County",63.9,24.2
"2628","TX","Lamar County",63.6,63.98
"2629","TX","Lamb County",58.6,22.15
"2630","TX","Lampasas County",66.3,25.87
"2631","TX","La Salle County",72,15.02
"2632","TX","Lavaca County",71.2,34.12
"2633","TX","Lee County",68.7,41.33
"2634","TX","Leon County",66.3,48.78
"2635","TX","Liberty County",69,76.16
"2636","TX","Limestone County",66.1,44.91
"2637","TX","Lipscomb County",57.2,27.22
"2638","TX","Live Oak County",71.6,21.85
"2639","TX","Llano County",67.4,23.12
"2640","TX","Loving County",66,8.64
"2641","TX","Lubbock County",60.8,21.74
"2642","TX","Lynn County",61.7,19.97
"2643","TX","McCulloch County",66,23.13
"2644","TX","McLennan County",66.4,38.5
"2645","TX","McMullen County",71.7,18.32
"2646","TX","Madison County",67,49.12
"2647","TX","Marion County",65,61.28
"2648","TX","Martin County",64.3,16.4
"2649","TX","Mason County",66.3,23.02
"2650","TX","Matagorda County",71.4,49.07
"2651","TX","Maverick County",71.9,12.15
"2652","TX","Medina County",69.8,19.82
"2653","TX","Menard County",65.5,21.18
"2654","TX","Midland County",65.5,15.71
"2655","TX","Milam County",67.7,42.37
"2656","TX","Mills County",65.5,24.61
"2657","TX","Mitchell County",64.9,19.93
"2658","TX","Montague County",63.5,36.96
"2659","TX","Montgomery County",69.1,55.02
"2660","TX","Moore County",57.6,21.43
"2661","TX","Morris County",64.3,59.39
"2662","TX","Motley County",61.4,22.52
"2663","TX","Nacogdoches County",66.3,54.96
"2664","TX","Navarro County",66,41.89
"2665","TX","Newton County",67.4,71.37
"2666","TX","Nolan County",64.3,21.34
"2667","TX","Nueces County",73.6,19.5
"2668","TX","Ochiltree County",57.5,28.18
"2669","TX","Oldham County",57.4,20.08
"2670","TX","Orange County",69.1,84.58
"2671","TX","Palo Pinto County",64.8,32.32
"2672","TX","Panola County",65.8,59.42
"2673","TX","Parker County",64.8,36.96
"2674","TX","Parmer County",57.7,22.28
"2675","TX","Pecos County",66,14.56
"2676","TX","Polk County",67.1,62.27
"2677","TX","Potter County",58.3,24.36
"2678","TX","Presidio County",66,12.08
"2679","TX","Rains County",64.9,56.28
"2680","TX","Randall County",57.9,23.37
"2681","TX","Reagan County",65.2,17.99
"2682","TX","Real County",66.7,21.86
"2683","TX","Red River County",63.6,65.85
"2684","TX","Reeves County",66.2,10.54
"2685","TX","Refugio County",71.4,28.69
"2686","TX","Roberts County",58.6,26.8
"2687","TX","Robertson County",67.1,44.99
"2688","TX","Rockwall County",65.2,48.14
"2689","TX","Runnels County",64.9,23.73
"2690","TX","Rusk County",65.8,56.46
"2691","TX","Sabine County",66.7,65.52
"2692","TX","San Augustine County",66.6,64.82
"2693","TX","San Jacinto County",67.9,58.99
"2694","TX","San Patricio County",72.2,23.64
"2695","TX","San Saba County",66.5,23.16
"2696","TX","Schleicher County",65.2,20.8
"2697","TX","Scurry County",63.9,21.16
"2698","TX","Shackelford County",64.2,31.42
"2699","TX","Shelby County",65.6,61.93
"2700","TX","Sherman County",56.6,16.86
"2701","TX","Smith County",65.4,53.65
"2702","TX","Somervell County",65.8,38.97
"2703","TX","Starr County",75.4,20.83
"2704","TX","Stephens County",64.2,32.16
"2705","TX","Sterling County",64.8,18.96
"2706","TX","Stonewall County",64.1,27.09
"2707","TX","Sutton County",65.9,18.87
"2708","TX","Swisher County",58.3,20.75
"2709","TX","Tarrant County",65.7,39.18
"2710","TX","Taylor County",64.2,25.22
"2711","TX","Terrell County",67.6,14.77
"2712","TX","Terry County",61,16.31
"2713","TX","Throckmorton County",64.1,30.26
"2714","TX","Titus County",64.3,59.89
"2715","TX","Tom Green County",65.6,20.51
"2716","TX","Travis County",68.4,35.9
"2717","TX","Trinity County",66.4,53.54
"2718","TX","Tyler County",67.1,70.25
"2719","TX","Upshur County",64.8,57.96
"2720","TX","Upton County",66.2,14.82
"2721","TX","Uvalde County",69.6,22.89
"2722","TX","Val Verde County",68.6,16.9
"2723","TX","Van Zandt County",65.2,51.6
"2724","TX","Victoria County",71.7,30.7
"2725","TX","Walker County",67.3,51.63
"2726","TX","Waller County",69.6,45.02
"2727","TX","Ward County",66.8,9.78
"2728","TX","Washington County",68.9,44.2
"2729","TX","Webb County",73.2,14.3
"2730","TX","Wharton County",71.1,46.64
"2731","TX","Wheeler County",59.1,29.3
"2732","TX","Wichita County",63.4,31.08
"2733","TX","Wilbarger County",63.3,27.9
"2734","TX","Willacy County",74.8,26.5
"2735","TX","Williamson County",67.7,36.12
"2736","TX","Wilson County",70.1,22.85
"2737","TX","Winkler County",65.5,10.23
"2738","TX","Wise County",64.5,35
"2739","TX","Wood County",65,58.29
"2740","TX","Yoakum County",60.3,15.43
"2741","TX","Young County",64.1,32.54
"2742","TX","Zapata County",75.2,17.15
"2743","TX","Zavala County",71.6,15.08
"2744","UT","Beaver County",48.2,15.91
"2745","UT","Box Elder County",47,15.11
"2746","UT","Cache County",42.8,33.32
"2747","UT","Carbon County",43.8,16.66
"2748","UT","Daggett County",39.9,17.89
"2749","UT","Davis County",48.9,31.53
"2750","UT","Duchesne County",40.8,20.34
"2751","UT","Emery County",49.8,9.65
"2752","UT","Garfield County",47.9,15.97
"2753","UT","Grand County",50.7,13.07
"2754","UT","Iron County",47.7,19.08
"2755","UT","Juab County",49.3,15.66
"2756","UT","Kane County",51.7,15.44
"2757","UT","Millard County",50,12.29
"2758","UT","Morgan County",43.4,30.24
"2759","UT","Piute County",42.9,22.47
"2760","UT","Rich County",38.9,18.42
"2761","UT","Salt Lake County",48.9,27.67
"2762","UT","San Juan County",52.2,11.23
"2763","UT","Sanpete County",43.6,20.99
"2764","UT","Sevier County",43.8,18.6
"2765","UT","Summit County",37.8,30.33
"2766","UT","Tooele County",49.6,14.52
"2767","UT","Uintah County",44.8,13.4
"2768","UT","Utah County",46.2,23.35
"2769","UT","Wasatch County",40.2,28.28
"2770","UT","Washington County",54.6,22.79
"2771","UT","Wayne County",50.3,10.4
"2772","UT","Weber County",45.4,32.32
"2773","VT","Addison County",42.9,50.96
"2774","VT","Bennington County",43,52.25
"2775","VT","Caledonia County",39.8,52.66
"2776","VT","Chittenden County",43.6,47.57
"2777","VT","Essex County",39.2,52.35
"2778","VT","Franklin County",42.6,51.01
"2779","VT","Grand Isle County",44.3,42.88
"2780","VT","Lamoille County",40.5,53.18
"2781","VT","Orange County",41.8,50.68
"2782","VT","Orleans County",39.9,55.66
"2783","VT","Rutland County",42.6,50.72
"2784","VT","Washington County",40.6,54.45
"2785","VT","Windham County",43.8,51.69
"2786","VT","Windsor County",42.9,48.77
"2787","VA","Accomack County",59.8,47.11
"2788","VA","Albemarle County",57.7,47.28
"2789","VA","Alleghany County",54.2,45.94
"2790","VA","Amelia County",59.5,41.13
"2791","VA","Amherst County",56.6,55.7
"2792","VA","Appomattox County",57.8,46.41
"2793","VA","Arlington County",58,46.54
"2794","VA","Augusta County",54.5,45.18
"2795","VA","Bath County",53.5,48.02
"2796","VA","Bedford County",57.5,51.02
"2797","VA","Bland County",53.1,45.5
"2798","VA","Botetourt County",56.1,48.3
"2799","VA","Brunswick County",60.5,48.15
"2800","VA","Buchanan County",56,52.21
"2801","VA","Buckingham County",58.6,42.41
"2802","VA","Campbell County",57.9,48.44
"2803","VA","Caroline County",58.7,45.25
"2804","VA","Carroll County",54.3,55.29
"2805","VA","Charles City County",61.2,47.27
"2806","VA","Charlotte County",58.7,49.79
"2807","VA","Chesterfield County",59.9,42.89
"2808","VA","Clarke County",55.2,43.57
"2809","VA","Craig County",54.2,48.58
"2810","VA","Culpeper County",57.1,43.18
"2811","VA","Cumberland County",59,41.83
"2812","VA","Dickenson County",55.9,52.72
"2813","VA","Dinwiddie County",60.4,47.43
"2814","VA","Essex County",59.3,43.67
"2815","VA","Fairfax County",57.7,45.09
"2816","VA","Fauquier County",56.6,43.43
"2817","VA","Floyd County",53.4,51.16
"2818","VA","Fluvanna County",58.6,44.85
"2819","VA","Franklin County",57.7,52.07
"2820","VA","Frederick County",54.4,41.69
"2821","VA","Giles County",53.8,43.13
"2822","VA","Gloucester County",60.9,47.91
"2823","VA","Goochland County",58.6,41.95
"2824","VA","Grayson County",52.4,55.05
"2825","VA","Greene County",56.4,47.28
"2826","VA","Greensville County",61,51.07
"2827","VA","Halifax County",59.3,47.65
"2828","VA","Hanover County",59.2,43.4
"2829","VA","Henrico County",60,43.75
"2830","VA","Henry County",58.7,53.88
"2831","VA","Highland County",51,47.79
"2832","VA","Isle of Wight County",61.5,53
"2833","VA","James City County",61.2,49.12
"2834","VA","King and Queen County",59.8,45.69
"2835","VA","King George County",59.1,43.03
"2836","VA","King William County",59.9,45.4
"2837","VA","Lancaster County",59.8,45.39
"2838","VA","Lee County",56.4,63.31
"2839","VA","Loudoun County",56.3,45.01
"2840","VA","Louisa County",57.8,41.66
"2841","VA","Lunenburg County",59.5,48.51
"2842","VA","Madison County",55.9,45.39
"2843","VA","Mathews County",60.8,47.57
"2844","VA","Mecklenburg County",60,47.6
"2845","VA","Middlesex County",60.1,46.42
"2846","VA","Montgomery County",55,43.06
"2847","VA","Nelson County",56.5,51.31
"2848","VA","New Kent County",60.4,46.38
"2849","VA","Northampton County",60.6,46.8
"2850","VA","Northumberland County",59.3,42.3
"2851","VA","Nottoway County",59.7,43.82
"2852","VA","Orange County",57.3,40.56
"2853","VA","Page County",54.7,43.38
"2854","VA","Patrick County",56.8,57.13
"2855","VA","Pittsylvania County",58.8,51.22
"2856","VA","Powhatan County",59.1,40.99
"2857","VA","Prince Edward County",58.8,45.65
"2858","VA","Prince George County",61.1,49.79
"2859","VA","Prince William County",58,41.9
"2860","VA","Pulaski County",54.9,44.59
"2861","VA","Rappahannock County",55.3,45.09
"2862","VA","Richmond County",59.2,42.27
"2863","VA","Roanoke County",56.5,47.36
"2864","VA","Rockbridge County",55.5,52.1
"2865","VA","Rockingham County",54.8,42.78
"2866","VA","Russell County",55.5,52.68
"2867","VA","Scott County",57.2,61.12
"2868","VA","Shenandoah County",54.8,38.98
"2869","VA","Smyth County",53.9,52.96
"2870","VA","Southampton County",61.2,54.34
"2871","VA","Spotsylvania County",57.5,43.13
"2872","VA","Stafford County",58.4,40.78
"2873","VA","Surry County",61.4,53.28
"2874","VA","Sussex County",61.1,54.71
"2875","VA","Tazewell County",53.5,50.23
"2876","VA","Warren County",54.9,41.44
"2877","VA","Washington County",56.1,54.62
"2878","VA","Westmoreland County",59.1,41.42
"2879","VA","Wise County",54.8,57.06
"2880","VA","Wythe County",54,46.88
"2881","VA","York County",61.6,48.52
"2882","VA","Alexandria City",58.6,46.29
"2883","VA","Bristol City",57.7,58.06
"2884","VA","Buena Vista City",56.7,53.07
"2885","VA","Charlottesville City",58.2,47.87
"2886","VA","Chesapeake City",62,51.41
"2887","VA","Colonial Heights City",60.7,45.16
"2888","VA","Covington City",55.7,43.51
"2889","VA","Danville City",59.8,49.17
"2890","VA","Emporia City",61,51.9
"2891","VA","Fairfax City",57.3,46.31
"2892","VA","Falls Church City",57.4,46.68
"2893","VA","Franklin City",61.2,54.61
"2894","VA","Fredericksburg City",58,42.24
"2895","VA","Galax City",54.4,53.22
"2896","VA","Hampton City",62.1,48.12
"2897","VA","Harrisonburg City",56,40.79
"2898","VA","Hopewell City",61,45.29
"2899","VA","Lynchburg City",57.6,49.66
"2900","VA","Manassas City",57.8,43.08
"2901","VA","Manassas Park City",57.8,43.64
"2902","VA","Martinsville City",58.7,54.61
"2903","VA","Newport News City",62,49.29
"2904","VA","Norfolk City",62.7,48.37
"2905","VA","Norton City",54.8,57.23
"2906","VA","Petersburg City",60.8,46.95
"2907","VA","Poquoson City",62,47.78
"2908","VA","Portsmouth City",62.6,49.25
"2909","VA","Radford City",55.3,41.91
"2910","VA","Richmond City",59.9,43.38
"2911","VA","Roanoke City",58.1,46.76
"2912","VA","Salem City",57.9,45.98
"2913","VA","Staunton City",55.5,40.95
"2914","VA","Suffolk City",61.4,51.81
"2915","VA","Virginia Beach City",62.3,51.14
"2916","VA","Waynesboro City",55.9,44.74
"2917","VA","Williamsburg City",61.2,49.15
"2918","VA","Winchester City",54.8,42.22
"2919","WA","Adams County",48.1,10.82
"2920","WA","Asotin County",47.8,16.7
"2921","WA","Benton County",50.8,8.34
"2922","WA","Chelan County",42.7,31.22
"2923","WA","Clallam County",47.9,77.23
"2924","WA","Clark County",51.6,51.18
"2925","WA","Columbia County",47.1,25.73
"2926","WA","Cowlitz County",49.7,58.04
"2927","WA","Douglas County",46.8,11.02
"2928","WA","Ferry County",42.4,18.05
"2929","WA","Franklin County",50.2,9.48
"2930","WA","Garfield County",47.7,19.02
"2931","WA","Grant County",49.4,7.25
"2932","WA","Grays Harbor County",50.1,68.55
"2933","WA","Island County",51.4,20.49
"2934","WA","Jefferson County",46,88.88
"2935","WA","King County",47.9,59.5
"2936","WA","Kitsap County",51.9,34.06
"2937","WA","Kittitas County",44.8,27.02
"2938","WA","Klickitat County",47.6,20.73
"2939","WA","Lewis County",47.2,53.86
"2940","WA","Lincoln County",45.3,11.34
"2941","WA","Mason County",49.4,67.32
"2942","WA","Okanogan County",42.2,20.5
"2943","WA","Pacific County",50.3,60.22
"2944","WA","Pend Oreille County",41.9,26.66
"2945","WA","Pierce County",47.1,52.15
"2946","WA","San Juan County",51.2,22.06
"2947","WA","Skagit County",46.2,62.02
"2948","WA","Skamania County",45.6,68.86
"2949","WA","Snohomish County",46.4,63.95
"2950","WA","Spokane County",46.2,18.86
"2951","WA","Stevens County",44.4,19.65
"2952","WA","Thurston County",50.6,35.09
"2953","WA","Wahkiakum County",50.3,58.01
"2954","WA","Walla Walla County",50.9,15.12
"2955","WA","Whatcom County",44.8,57.82
"2956","WA","Whitman County",48,15.94
"2957","WA","Yakima County",45.8,23.49
"2958","WV","Barbour County",54.3,48.98
"2959","WV","Berkeley County",54.6,44.73
"2960","WV","Boone County",56.6,49.39
"2961","WV","Braxton County",55.7,47.09
"2962","WV","Brooke County",52.6,46.42
"2963","WV","Cabell County",57,48.21
"2964","WV","Calhoun County",55.5,44.74
"2965","WV","Clay County",56.2,44.78
"2966","WV","Doddridge County",54.8,48.76
"2967","WV","Fayette County",54.3,46.63
"2968","WV","Gilmer County",55.7,45.7
"2969","WV","Grant County",52.5,42.35
"2970","WV","Greenbrier County",52.1,49.11
"2971","WV","Hampshire County",53.8,39.7
"2972","WV","Hancock County",51.8,54.72
"2973","WV","Hardy County",53.4,40.24
"2974","WV","Harrison County",55.1,45.5
"2975","WV","Jackson County",55.8,45.59
"2976","WV","Jefferson County",55.1,46.49
"2977","WV","Kanawha County",56.9,47.04
"2978","WV","Lewis County",55.5,47.63
"2979","WV","Lincoln County",57.6,49.53
"2980","WV","Logan County",57,51.65
"2981","WV","McDowell County",55.6,48.52
"2982","WV","Marion County",54.2,44.3
"2983","WV","Marshall County",52.9,52.31
"2984","WV","Mason County",55.6,45.72
"2985","WV","Mercer County",53.4,44.29
"2986","WV","Mineral County",53.7,38.72
"2987","WV","Mingo County",57.6,53.68
"2988","WV","Monongalia County",53.3,46.38
"2989","WV","Monroe County",54,46.87
"2990","WV","Morgan County",54,43.02
"2991","WV","Nicholas County",53.7,48.59
"2992","WV","Ohio County",52.7,47.4
"2993","WV","Pendleton County",52.1,43.77
"2994","WV","Pleasants County",54.6,50.2
"2995","WV","Pocahontas County",49.2,51.34
"2996","WV","Preston County",51.5,55.5
"2997","WV","Putnam County",56.8,45.73
"2998","WV","Raleigh County",54,48.65
"2999","WV","Randolph County",50.4,56.3
"3000","WV","Ritchie County",54.9,49.08
"3001","WV","Roane County",55.7,44.46
"3002","WV","Summers County",54.7,45.87
"3003","WV","Taylor County",54.4,46.23
"3004","WV","Tucker County",50.6,58.75
"3005","WV","Tyler County",54.4,50.84
"3006","WV","Upshur County",54.1,49.69
"3007","WV","Wayne County",57.4,53.18
"3008","WV","Webster County",51.8,56.93
"3009","WV","Wetzel County",53.7,50.42
"3010","WV","Wirt County",55.2,48.12
"3011","WV","Wood County",55.3,49.29
"3012","WV","Wyoming County",55.5,49.78
"3013","WI","Adams County",43.7,45.17
"3014","WI","Ashland County",38.5,37.35
"3015","WI","Barron County",40.4,42.34
"3016","WI","Bayfield County",38.9,33.15
"3017","WI","Brown County",43.8,46.61
"3018","WI","Buffalo County",43.6,48.7
"3019","WI","Burnett County",40.2,39.41
"3020","WI","Calumet County",44,44.71
"3021","WI","Chippewa County",41.1,41.21
"3022","WI","Clark County",41.4,45.83
"3023","WI","Columbia County",45.1,45.37
"3024","WI","Crawford County",45.5,52.46
"3025","WI","Dane County",45.9,45.87
"3026","WI","Dodge County",44.5,45.47
"3027","WI","Door County",42.2,44.29
"3028","WI","Douglas County",38.9,35.57
"3029","WI","Dunn County",42.3,43.79
"3030","WI","Eau Claire County",42.3,44.75
"3031","WI","Florence County",38.7,33.93
"3032","WI","Fond du Lac County",44.1,43.87
"3033","WI","Forest County",38,39.66
"3034","WI","Grant County",45.7,52.91
"3035","WI","Green County",46.4,49.27
"3036","WI","Green Lake County",44.2,43.42
"3037","WI","Iowa County",45.4,50.26
"3038","WI","Iron County",37.6,38.98
"3039","WI","Jackson County",42.8,47.51
"3040","WI","Jefferson County",46.1,42.24
"3041","WI","Juneau County",43.4,45.04
"3042","WI","Kenosha County",46.9,49.34
"3043","WI","Kewaunee County",43.2,43.12
"3044","WI","La Crosse County",44.3,47.75
"3045","WI","Lafayette County",45.8,52
"3046","WI","Langlade County",39.3,41.18
"3047","WI","Lincoln County",39.5,39.82
"3048","WI","Manitowoc County",43.7,42.15
"3049","WI","Marathon County",41.2,44.37
"3050","WI","Marinette County",40.8,41.62
"3051","WI","Marquette County",44.4,43.43
"3052","WI","Menominee County",41.3,44.96
"3053","WI","Milwaukee County",46.7,42.77
"3054","WI","Monroe County",42.7,45.25
"3055","WI","Oconto County",41.8,45.99
"3056","WI","Oneida County",38.2,39.45
"3057","WI","Outagamie County",43.8,46.66
"3058","WI","Ozaukee County",45.3,37.93
"3059","WI","Pepin County",43.2,47.93
"3060","WI","Pierce County",41.9,42.79
"3061","WI","Polk County",40.9,42.52
"3062","WI","Portage County",42.7,43.7
"3063","WI","Price County",38.5,37.55
"3064","WI","Racine County",46.5,47.61
"3065","WI","Richland County",45,48.81
"3066","WI","Rock County",46.6,48.64
"3067","WI","Rusk County",39.7,39.59
"3068","WI","St. Croix County",41.8,42.06
"3069","WI","Sauk County",45.1,47.96
"3070","WI","Sawyer County",38.9,41.33
"3071","WI","Shawano County",42.4,46.31
"3072","WI","Sheboygan County",44.2,40.03
"3073","WI","Taylor County",39.5,42.89
"3074","WI","Trempealeau County",43.5,48.13
"3075","WI","Vernon County",44,48.26
"3076","WI","Vilas County",37.4,40.26
"3077","WI","Walworth County",46.4,49.7
"3078","WI","Washburn County",39.4,39.66
"3079","WI","Washington County",44.6,42.24
"3080","WI","Waukesha County",45.8,42.25
"3081","WI","Waupaca County",43.2,43.3
"3082","WI","Waushara County",43.5,42.56
"3083","WI","Winnebago County",44.3,43.75
"3084","WI","Wood County",42.4,43.84
"3085","WY","Albany County",40,14.49
"3086","WY","Big Horn County",41.8,16.74
"3087","WY","Campbell County",42,21.07
"3088","WY","Carbon County",40.8,15.61
"3089","WY","Converse County",42.7,15.61
"3090","WY","Crook County",41.1,25.96
"3091","WY","Fremont County",39.4,16.56
"3092","WY","Goshen County",45.5,16.94
"3093","WY","Hot Springs County",41.5,17.41
"3094","WY","Johnson County",41.7,18.81
"3095","WY","Laramie County",44.7,17.75
"3096","WY","Lincoln County",37.2,21.31
"3097","WY","Natrona County",42.1,14.94
"3098","WY","Niobrara County",43.1,19.08
"3099","WY","Park County",37.6,26
"3100","WY","Platte County",45,15.36
"3101","WY","Sheridan County",41,21.81
"3102","WY","Sublette County",34.4,18.38
"3103","WY","Sweetwater County",40,10.37
"3104","WY","Teton County",34.4,36.46
"3105","WY","Uinta County",38.1,14.43
"3106","WY","Washakie County",42.5,16.71
"3107","WY","Weston County",41.9,20.19
"3108","AK","Aleutians East Borough",42.2,59.19
"3109","AK","Aleutians West Census Area",41.4,66.36
"3110","AK","Anchorage Municipality",36.6,64.51
"3111","AK","Bethel Census Area",36.4,28.38
"3112","AK","Bristol Bay Borough",41.4,25.07
"3113","AK","Denali Borough",30.8,28.25
"3114","AK","Dillingham Census Area",39.3,44.96
"3115","AK","Fairbanks North Star Borough",31.8,20.52
"3116","AK","Haines Borough",35.7,75.3
"3117","AK","Hoonah-Angoon Census Area",38.8,117.64
"3118","AK","Juneau City and Borough",35.8,145.78
"3119","AK","Kenai Peninsula Borough",38,64.09
"3120","AK","Ketchikan Gateway Borough",41.4,144.48
"3121","AK","Kodiak Island Borough",42.5,66.18
"3122","AK","Kusilvak Census Area",35.1,27.71
"3123","AK","Lake and Peninsula Borough",40.6,43.54
"3124","AK","Matanuska-Susitna Borough",33.1,36.12
"3125","AK","Nome Census Area",30.8,19.35
"3126","AK","North Slope Borough",21.5,14.62
"3127","AK","Northwest Arctic Borough",28.6,16.69
"3128","AK","Petersburg Borough",37.8,159.78
"3129","AK","Prince of Wales-Hyder Census Area",44,95.9
"3130","AK","Sitka City and Borough",42.2,133.78
"3131","AK","Skagway Municipality",33,66.47
"3132","AK","Southeast Fairbanks Census Area",28.8,20.69
"3133","AK","Valdez-Cordova Census Area",31.3,65.94
"3134","AK","Wrangell City and Borough",41,123.4
"3135","AK","Yakutat City and Borough",36.4,154.08
"3136","AK","Yukon-Koyukuk Census Area",29.9,18.71
