"","FIPS","UnempRate2019","MedHHInc","Deep_Pov_All","PovertyAllAgesPct","PerCapitaInc","AvgHHSize","PctEmpFIRE","PctEmpConstruction","PctEmpTrans","PctEmpMining","PctEmpTrade","PctEmpInformation","PctEmpAgriculture","PctEmpManufacturing","PctEmpServices","HispanicPct2010","NativeAmericanNonHispanicPct2010","WhiteNonHispanicPct2010","BlackNonHispanicPct2010","AsianNonHispanicPct2010","Ed1LessThanHSPct","Ed2HSDiplomaOnlyPct","Ed3SomeCollegePct","Ed4AssocDegreePct","Ed5CollegePlusPct","Net_International_Migration_Rate_2010_2019"
"2363",45001,3.4,42412,9.719844683,19.1,21185,2.51,2.923676652,8.042675421,3.734099302,0.061551087,10.09437833,1.867049651,1.600328272,23.89208043,44.37833402,1,0.23,69.1,28.17,0.3,19.8459923,34.64589896,18.25341267,11.36390153,15.89079454,-0.099
"2364",45003,2.9,52633,7.123192555,15,27526,2.46,4.312152302,8.17421934,6.19636018,0.225042632,13.99737217,1.322300187,1.224455565,14.0309189,45.71999665,4.89,0.37,67.81,24.39,0.82,12.65225596,32.20363699,20.72396638,8.014239149,26.40590153,0.746
"2365",45005,5.3,29124,13.92389424,37.3,14744,2.4,1.21602289,4.649499285,10.22889843,0,9.370529328,0.572246066,7.26037196,16.55937053,35.01430615,2.29,0.18,23.13,73.38,0.39,22.27707498,43.9524838,17.09348966,7.281703178,9.39524838,0.386
"2366",45007,2.7,51740,6.366689819,14.6,25807,2.52,3.888624895,5.850474057,3.997239382,0.067884054,15.76607155,1.357681081,0.558912045,21.05084516,44.52967665,2.91,0.22,78.75,15.93,0.74,15.52176115,31.25130329,20.75873574,11.08388692,21.38431291,0.503
"2367",45009,5.6,36230,15.80259588,26.7,18873,2.49,2.521627094,3.533959139,6.000368121,0,9.534327259,0.515369041,2.521627094,22.76826799,45.68378428,1.61,0.24,35.6,61.21,0.43,17.72073922,33.21355236,15.61601643,14.74332649,18.7063655,-0.094
"2368",45011,4.3,38131,12.84295175,22.4,19620,2.55,3.970856102,4.735883424,7.88099575,0.206435944,10.92896175,0.862173649,2.62295082,20.51001821,41.8579235,1.82,0.37,51.79,44.05,0.56,18.86051081,35.74936851,20.93039573,12.93853494,11.52119001,0.009
"2369",45013,2.6,65843,4.264627944,10.9,36306,2.51,6.497084039,8.893009756,3.026149587,0.055094198,15.07834126,1.761670564,0.948695208,4.922196243,54.05681421,12.06,0.21,66.13,18.9,1.12,7.140882281,22.94329073,20.79672524,8.814358565,40.30474318,1.822
"2370",45015,2.5,62204,5.550626432,12.8,28331,2.74,4.492389997,8.364782482,6.367934309,0.022809273,14.17596317,1.739725459,0.407456559,12.35225812,45.35105545,6.05,0.51,63.85,24.75,2.24,11.20826939,29.6616672,24.34852477,10.94550772,23.83603092,1.821
"2371",45017,3.6,45385,7.192751919,18.4,25953,2.37,2.442078898,8.140262993,7.592360676,0,14.51158422,0.563556669,2.582968065,14.93425172,40.52911709,3.02,0.28,53.11,42.31,0.2,14.33383234,37.21931138,20.71482036,8.579715569,19.15232036,0.205
"2372",45019,2.3,62958,7.234355944,14.2,37801,2.45,6.554419423,6.805801273,4.529371196,0.034483793,12.80997931,2.326906354,0.350835107,6.265055424,56.27605026,5.39,0.24,62.04,29.55,1.33,8.454566581,22.7319044,17.84372263,8.183914621,42.78589177,1.018
"2373",45021,3.1,42542,10.16821761,16.8,21432,2.74,3.367456897,5.307112069,7.134518678,0.269396552,18.86673851,0.619612069,0.332255747,26.61188937,34.10111351,3.67,0.23,73.97,20.26,0.56,20.3725109,36.63111438,20.88740608,8.264593075,13.84437556,-0.164
"2374",45023,4.1,42116,9.125451601,18.2,21240,2.58,3.650526959,6.369329464,5.704903009,0.305483428,15.67129983,1.580876737,1.748892623,21.90316175,38.1548801,1.45,0.39,59.11,37.26,0.31,17.79661017,41.24742176,17.26302574,9.985651511,13.70729083,-0.018
"2375",45025,2.9,39046,8.273127753,20.9,20676,2.52,2.979800643,5.374189125,3.881651812,0.400822741,13.92331628,1.028426771,3.98713148,29.57649913,35.29349718,3.56,0.48,61.6,32.48,0.37,23.85211312,40.43899981,17.89065944,7.728160232,10.09006739,0.403
"2376",45027,3.9,36722,9.154409502,26.4,20967,2.44,4.65631929,8.280743647,5.304451646,0,15.53812042,1.313320826,3.436807095,13.37199386,41.97509807,2.57,0.2,46.21,49.7,0.63,20.20587747,37.34019592,19.3093143,7.645691516,15.4989208,-0.04
"2377",45029,3.2,39079,6.172839506,20,21003,2.44,3.457106274,11.02432778,6.882202305,0.070422535,14.9871959,2.151088348,2.407170294,7.733674776,46.2099872,2.81,0.79,55.89,38.85,0.32,13.34533201,44.09512139,15.72336678,11.59914222,15.2370376,-0.36
"2378",45031,3.4,37206,9.568780369,23.5,21587,2.48,4.849284099,5.293896006,6.574981161,0,15.77995479,1.46948003,0.987189148,17.19668425,44.15599096,1.66,0.27,55.32,41.44,0.29,17.94960828,35.38705267,20.68187244,8.808784913,17.1726817,0.252
"2379",45033,4.1,33159,14.1289708,32.1,16473,2.78,4.873518486,3.732531399,7.235096409,0.017689722,19.27295241,0.77834778,4.13055015,20.06014506,36.23739607,2.6,2.34,47.26,45.94,0.24,25.11054338,38.37574924,17.94733222,7.418689201,11.14768596,1.21
"2380",45035,2.5,65468,5.694391827,11,28704,2.82,4.331986578,6.63836198,4.85790591,0.083544477,14.20666986,2.088611929,0.401287407,12.99322057,47.24919537,4.45,0.62,65.49,25.53,1.48,9.88963407,27.71560807,22.88721891,11.58697932,27.92055962,0.862
"2381",45037,2.8,48818,7.502993765,18.5,25410,2.65,2.945943369,7.293354943,4.089999047,0,12.96596434,1.039183907,6.406711793,15.29221089,44.94232053,5.24,0.23,56.31,36.88,0.35,17.58562433,37.12691343,19.06005222,8.421645421,17.8057646,0.137
"2382",45039,4.4,39522,12.66770671,23.7,22527,2.49,4.579179226,7.883143983,10.34083005,0,10.61905866,2.619986089,1.217250174,16.11407373,39.45049849,1.56,0.2,37.98,58.91,0.23,17.46660975,39.34866134,19.25962066,6.89760322,17.02750503,0.705
"2383",45041,2.9,47949,8.085812247,18,25149,2.6,5.526450611,4.650547852,4.914971327,0,15.3894462,0.867639525,1.17172652,13.66738832,49.04890182,2.21,0.31,54.14,41.06,1.21,15.4116358,33.05010098,18.93395781,9.540024922,23.0642805,0.46
