"","State","County","FIPS","Population","Age.Adjusted.Rate","per_unhealthy_days","Median.AQI","Avg_Temperature","Total_Precipitation","UnempRate2019","MedHHInc","Deep_Pov_All","PovertyAllAgesPct","PerCapitaInc","AvgHHSize","PctEmpFIRE","PctEmpConstruction","PctEmpTrans","PctEmpMining","PctEmpTrade","PctEmpInformation","PctEmpAgriculture","PctEmpManufacturing","PctEmpServices","HispanicPct2010","NativeAmericanNonHispanicPct2010","WhiteNonHispanicPct2010","BlackNonHispanicPct2010","AsianNonHispanicPct2010","Ed1LessThanHSPct","Ed2HSDiplomaOnlyPct","Ed3SomeCollegePct","Ed4AssocDegreePct","Ed5CollegePlusPct","Net_International_Migration_Rate_2010_2019","per_gop","per_dem","per_point_diff"
"56","CA","Stanislaus County",6099,550660,13.4,0.063013698630137,49,62.3,15.77,6,59616,6.592242351,15.6,25101,3.09,3.744629986,7.834828249,6.29302752,0.064709795,16.77736236,1.16837129,5.362824223,12.24183488,42.96370859,41.92,0.56,46.73,2.54,4.8,21.67110891,28.55718144,25.14371113,7.70538777,16.92261075,0.871,0.484674882257674,0.492567806548893,-0.00789292429121913
"57","CA","Tulare County",6107,466195,6.7,0.221917808219178,66,54,26.68,9.6,48763,10.02915285,22.2,20421,3.34,3.24256923,4.996727527,4.365365953,0.069963213,14.77803606,0.901622695,17.80563768,8.237039879,40.0313706,60.62,0.75,32.55,1.24,3.21,30.23157284,26.00558213,21.87882099,7.578240849,14.30578319,-0.118,0.528352130325815,0.450208401438379,0.078143728887436
"58","CA","Ventura County",6111,846006,10.2,0.0246575342465753,46,57.7,26.98,3.6,84170,3.732147105,9.1,36891,3.08,7.650377946,5.759919268,3.343295458,0.245737796,13.55803099,2.438941557,5.369601289,10.09126018,46.55797277,40.27,0.29,48.69,1.59,6.57,15.56155536,18.90556482,23.10719359,9.328286438,33.09739979,0.864,0.383742056976849,0.594722473255137,-0.210980416278289
"59","CA","Yolo County",6113,220500,11.2,0.00273972602739726,41,62.4,28.82,4.1,67804,11.90816612,20.1,32598,2.81,4.343048452,4.754862694,4.797995358,0.119128309,12.28459342,1.189229158,3.912748783,5.993386325,54.39439686,30.35,0.55,49.91,2.37,12.77,13.62897148,18.46098925,19.53671017,6.785133473,41.58819563,4.75,0.28059713768712,0.694995064977792,-0.414397927290673
"60","CO","Adams County",8001,517421,20.4,0.00273972602739726,47,48.7,16.18,2.9,70199,4.793915633,9.2,28897,3,5.02012037,12.37529868,7.239813696,1.113366261,15.31885605,2.579083418,0.573694522,8.125970334,43.43027871,38.02,0.56,53.21,2.76,3.49,16.99854466,28.4180814,22.36663848,8.65533619,23.56139926,1.834,0.404067839567449,0.566887025577122,-0.162819186009673
"61","CO","Arapahoe County",8005,656590,18,0.0164383561643836,46,48.1,16.79,2.7,76665,3.715863991,8.1,38972,2.66,9.250514163,7.180034895,5.818055568,0.76852236,13.61949905,3.804362218,0.405151336,5.477634293,49.89981552,18.45,0.42,63.24,9.73,5,7.646567936,20.74208553,20.92758367,8.525940682,42.15782219,3.939,0.363589894426628,0.60998677834161,-0.246396883914982
"62","CO","Boulder County",8013,326196,15.8,0.0136986301369863,47,44.4,20.4,2.4,83591,6.767901769,9.7,43831,2.46,5.114797902,4.568305759,2.526878315,0.533247338,11.58690031,3.388366455,0.655329882,9.773513847,58.96989974,13.33,0.36,79.35,0.77,4.07,4.946390279,12.29449607,15.81987134,6.150107219,60.7891351,2.795,0.206204423829878,0.771860793455953,-0.565656369626075
"63","CO","Denver County",8031,727211,20.9,0.00821917808219178,51,49.8,14.27,2.7,68069,6.754497101,11.7,41196,2.31,8.447590699,7.725802886,4.271863128,0.855195176,11.38409496,3.467820293,0.303315391,5.319329416,54.43200337,31.82,0.59,52.15,9.73,3.32,12.89699601,16.96930763,16.90063697,5.329327209,47.90373218,3.117,0.181851422071112,0.795509195662055,-0.613657773590942
"64","CO","Douglas County",8035,351154,15.7,0.0304709141274238,46,46.2,17.63,2.4,120670,1.653437941,2.6,51017,2.79,11.81311058,5.819057058,3.623955826,1.002973241,13.50587569,5.118504885,0.421917032,6.152626363,48.32677333,7.49,0.28,85.23,1.14,3.7,2.019512195,12.21231127,19.72543554,8.140301974,57.90243902,1.711,0.52362056830988,0.451871553849542,0.0717490144603388
"65","CO","El Paso County",8041,720403,28.2,0,45,47.7,14.78,3.3,67923,4.706691795,9.9,32348,2.64,6.97830641,7.251784452,4.000292898,0.279845401,12.92764771,2.793678487,0.434253841,6.024794494,52.94649509,15.05,0.59,71.99,5.75,2.65,6.286559629,20.18114123,24.47306633,11.12996114,37.92927168,1.728,0.535379531158852,0.427455265818308,0.107924265340545
"66","CO","Fremont County",8043,47839,44.7,0,13,45.1,12.85,4.6,47885,4.973778636,16.5,21965,2.12,4.289940828,7.403493942,3.47985348,2.162581009,11.68639053,1.732882502,2.268244576,3.832065371,47.81628628,12.32,1.47,80.4,3.85,0.59,9.729477099,39.80040688,23.90718645,8.349370429,18.21355914,0.207,0.685409085573424,0.28833587666784,0.397073208905584
"67","CO","Garfield County",8045,60061,32.6,0,44,43.1,23.9,2.7,74421,2.779803452,8.4,32491,2.73,6.666241998,16.52068669,4.423989553,2.716820078,13.6032105,0.914100073,1.614803962,2.678599866,46.67324904,28.34,0.53,68.78,0.42,0.61,12.21775441,28.54933498,20.10774307,9.093721002,30.03144654,0.494,0.476216670981103,0.49919104323065,-0.022974372249547
"68","CO","Jefferson County",8059,582881,17.7,0.0438356164383562,46,45.6,17.93,2.5,85550,3.421559998,7,41930,2.44,6.998500481,7.669287361,3.898109455,1.074921587,13.6184444,2.91367056,0.405413615,7.418301803,50.52419213,14.3,0.49,79.91,0.94,2.56,5.584515927,20.6243215,21.78865884,7.933729107,44.06877463,0.918,0.393306603561084,0.57875168606916,-0.185445082508076
"69","CO","Larimer County",8069,356899,22.6,0.0164383561643836,48,42,20.87,2.4,71306,6.402075164,10.5,35390,2.46,5.130474489,6.84251174,3.547530596,0.923947664,13.3445327,2.091425157,1.22046778,9.445236793,53.44972406,10.56,0.43,84.45,0.75,1.89,4.245323543,19.2199348,21.14703768,9.053585397,46.33411858,1.468,0.407817667983133,0.562187413634783,-0.154369745651651
"70","CO","Mesa County",8077,154210,31.3,0,44,47.3,18.14,3.4,51132,7.061456784,14.4,28518,2.4,5.328568763,9.127308736,5.427591452,4.463196567,14.52763307,1.77810307,1.669034601,5.116172271,48.40343853,13.33,0.61,83.11,0.53,0.72,9.923151097,27.29450954,26.67212109,8.687140227,27.42307805,-0.126,0.627816644964799,0.347994968109289,0.27982167685551
"71","CO","Pueblo County",8101,168424,30.3,0,20,52.3,13.32,4.1,48308,8.045288668,17.2,24257,2.51,4.48760489,7.639103954,4.239850167,0.383429928,15.08059402,1.732808329,1.120795175,6.724771048,51.44597325,41.37,0.62,54.1,1.66,0.71,10.55820687,28.6574794,27.20789318,11.619926,21.95649454,0.285,0.478510515407876,0.495724753394716,-0.0172142379868401
"72","CO","Weld County",8123,324492,22,0.00821917808219178,45,47.4,16.1,2.5,75629,5.253985447,10.5,30626,2.83,4.777769417,9.37014715,5.624687878,3.839865369,15.00509656,1.470135521,2.563330757,10.25879584,43.09706725,28.35,0.56,67.57,0.81,1.14,11.92858846,27.5262893,24.72757132,9.085900458,26.73165046,0.967,0.575828901346366,0.395644674428633,0.180184226917733
"73","CT","Fairfield County",9001,943332,9.1,0.0575342465753425,43,51.5,51.65,3.6,91183,4.093663823,10,55613,2.72,11.94520444,6.598768067,3.52966165,0.060355868,12.66884396,2.806863324,0.21892146,7.956459655,51.77482004,16.91,0.11,66.18,10.11,4.56,10.1107839,21.65833061,14.70262859,6.173514701,47.35474221,4.793,0.35738387703757,0.628987927863168,-0.271604050825599
"74","CT","Hartford County",9003,891720,11.4,0.0136986301369863,39,49.9,51.66,3.9,73037,5.029383048,11.2,39260,2.49,11.04102989,4.943144903,4.375821904,0.023443099,12.88298768,2.343193575,0.17191606,10.95440206,48.8739498,15.3,0.14,66.14,12.3,4.2,10.46998454,26.91623048,16.68144707,8.179183415,37.75315449,4.515,0.353908878879057,0.630637206900849,-0.276728328021792
"75","CT","Litchfield County",9005,180333,12.9,0,37,47.5,49.3,3.5,76304,3.336520975,6.9,42443,2.43,6.902146011,7.317999795,3.6533525,0.105760345,13.91621316,2.4992299,0.920012322,13.06191601,47.92894548,4.49,0.15,91.3,1.16,1.51,7.410650677,29.66115531,18.3425849,9.50635241,35.07925671,1.186,0.517006992486796,0.466450941010191,0.050556051476605
"76","CT","Middlesex County",9007,162436,15.5,0.0341463414634146,41,50.6,53.6,3.2,88709,3.242753967,6.7,45293,2.35,9.210082901,6.409651547,3.977668442,0,12.40030554,2.300554919,0.515602885,11.3646065,49.8236391,4.73,0.13,86.4,4.38,2.54,5.823624486,26.09434979,17.1063708,9.451814937,41.52383999,1.539,0.40991703879923,0.573047186073002,-0.163130147273772
"77","CT","New Haven County",9009,854757,10.1,0.0383561643835616,41,50.8,53.77,3.9,67720,5.725225669,11.6,36678,2.52,6.456657573,5.768471052,4.23898586,0.039739031,13.55919129,2.10780498,0.197292603,11.00163398,52.81036768,15.04,0.16,67.52,11.8,3.47,9.936192209,30.86286528,16.90940032,7.389251022,34.90229117,3.741,0.406459639217187,0.580479927269247,-0.17402028805206
"78","CT","New London County",9011,265206,17,0.0192307692307692,37,50.6,54.61,3.6,67790,4.496052816,9.8,38109,2.39,4.615292101,5.526323702,4.355963799,0.090201149,13.04834782,1.507862533,0.668240176,12.99873718,51.86039869,8.47,0.76,78.31,5.29,4.1,8.102177759,29.76288512,20.11040213,8.6887223,33.33581269,2.143,0.409085699550156,0.569174235695252,-0.160088536145096
"79","CT","Tolland County",9013,150721,14.5,0.0235849056603774,42,49,53.59,3.3,89584,3.77752761,8,39668,2.46,8.941987164,6.220458729,3.488979551,0.027364545,12.12746903,1.803572317,0.812229464,11.12368775,51.47395393,4.32,0.14,87.49,3.08,3.33,5.43965787,27.52685929,17.3109419,8.568895379,41.15364556,2.375,0.432287140267673,0.546346187271869,-0.114059047004196
"80","DE","Kent County",10001,180786,14,0,42,57.1,38.89,4.2,54980,5.701349978,13.8,28100,2.63,5.487612485,6.520010602,4.647053627,0.087084927,15.85071877,1.135890349,1.076571631,8.317241553,46.96780382,5.76,0.56,65.24,23.3,2.01,12.86436837,33.16473802,22.20374471,8.195111023,23.57203788,1.264,0.471232404481471,0.511944843435794,-0.0407124389543234
"81","DE","New Castle County",10003,558753,10.5,0.00821917808219178,43,55.9,46.39,3.7,69562,5.907268627,11.6,35847,2.64,12.16565156,5.538859915,5.321127685,0.034282797,12.93190853,1.601444254,0.556183668,8.022903826,49.4977935,8.71,0.18,61.62,23.11,4.3,8.538191223,30.5905637,17.96213601,7.002446993,35.90666208,1.8,0.307210925032941,0.678065451460716,-0.370854526427774
"82","DE","Sussex County",10005,234225,10.5,0,42,58.5,41.3,3.8,59821,4.091968696,12.3,33983,2.42,5.397701055,9.888949274,3.961116865,0.061523948,16.22078894,1.096151677,2.03131569,9.785383961,45.68358233,8.6,0.47,75.59,12.45,0.97,12.27677342,32.84084305,19.01257227,9.402587868,26.46722339,0.562,0.550667944832705,0.438199641288886,0.112468303543818
"83","FL","Alachua County",12001,269043,11.7,0,35,71.9,56.68,2.9,51026,12.67636853,19.8,27896,2.54,5.345096423,3.606485858,3.310792797,0.166428335,12.01919581,1.648125258,0.867689474,3.461870945,65.50489994,8.39,0.24,63.66,19.98,5.3,7.605126177,21.74480884,17.57869158,10.54746611,42.5239073,4.137,0.357437379035651,0.629042663599899,-0.271605284564248
"84","FL","Bay County",12005,174705,18.3,0,38,70.3,53.43,3.9,51777,6.462101086,13.4,28017,2.57,6.022046312,7.089837489,4.536262977,0.273729378,16.57542354,1.556065202,0.681857414,6.264950309,49.23553057,4.8,0.61,79.24,10.57,1.95,9.679665738,31.41372727,25.7707114,10.31423117,22.82166442,2.282,0.710537065703474,0.275348297213622,0.435188768489852
"85","FL","Brevard County",12009,601942,19.6,0,36,74.3,53.66,3.2,57612,5.243615176,11,30987,2.49,5.228568982,6.549878306,4.520011252,0.047699226,14.24453803,1.596497165,0.43989286,10.51706776,51.42791913,8.09,0.31,77.56,9.69,2.04,8.021538231,28.61805725,22.25171987,11.79869533,29.30998932,1.693,0.576229889900323,0.41176226009247,0.164467629807852
"86","FL","Broward County",12011,1952778,11.1,0,40,77.5,56.44,3,57200,6.0419908,12.6,31464,2.77,7.93266447,6.820301725,6.091254593,0.025266615,16.5740575,2.245570446,0.222030383,4.609051765,51.51757609,25.07,0.19,43.52,25.72,3.19,11.16413377,27.3861686,19.70427781,9.808374755,31.93704507,7.945,0.348145294004628,0.646100126139221,-0.297954832134593
"87","FL","Citrus County",12017,149657,25.9,0,30,72.8,61.85,4.8,41556,6.649905988,15.2,25983,2.24,4.85241747,9.551899674,6.591509908,0.423849162,17.40184833,1.088025169,1.061807695,3.974132092,50.85971467,4.66,0.3,89.6,2.67,1.4,11.92837344,38.31932773,22.96625456,9.148664701,17.63737956,0.224,0.70114153291563,0.290661745772895,0.410479787142734
"88","FL","Collier County",12021,384902,12.1,0,34,76.7,61.63,3.1,70649,4.826438025,10.6,43256,2.55,7.245992247,10.98354184,3.980894811,0.075074589,14.33924654,1.128707617,3.711661802,3.56927896,52.48425699,25.87,0.19,65.67,6.19,1.05,13.59397182,25.42390157,17.40781187,7.419824542,36.15449019,6.104,0.62049485607599,0.37350470122896,0.24699015484703
"89","FL","Columbia County",12023,71686,28.1,0,38,70.1,49,3.2,46195,8.301315091,17.3,23901,2.57,3.928365107,7.922202966,7.602541883,0.516079338,16.47217408,0.781821683,1.217022915,5.195455421,47.15963797,4.85,0.47,74.74,17.27,0.9,13.31200067,36.10448823,24.53047225,10.48437696,15.5686619,0.434,0.721384904061497,0.269777858483143,0.451607045578355
"90","FL","Duval County",12031,957755,17.7,0.00277008310249307,43,71.5,45.78,3.3,55733,7.368504964,14.5,30012,2.55,11.33855267,6.398183291,6.69832145,0.052178214,14.88213395,1.627960263,0.19941152,5.569003419,48.87329088,7.57,0.33,56.56,28.93,4.09,10.45383621,27.88818957,22.41171166,10.09436828,29.15189428,3.256,0.474335457164888,0.512471084777404,-0.0381356276125158
"91","FL","Escambia County",12033,318316,15.5,0.00273972602739726,40,69.1,56.84,3.2,50644,6.357563502,14.7,26730,2.47,8.522432525,5.616653574,4.951162756,0.108197839,18.50479479,1.369517853,0.64622271,4.512442751,50.02223243,4.72,0.8,66.16,22.66,2.69,9.160294364,27.29870317,23.33341324,13.76081693,26.4467723,1.738,0.567428920245111,0.416318409128261,0.15111051111685
"92","FL","Flagler County",12035,115081,18.7,0,34,73.1,54.12,3.8,58975,6.220461299,10.3,27689,2.62,6.340071812,7.028675422,4.884167036,0.093453347,15.92395849,1.999409768,0.518912006,6.509763415,52.76425164,8.62,0.23,76.14,10.94,2.11,7.980552009,33.90997937,23.62980061,10.05426775,24.42540026,1.364,0.600186848123152,0.39267388030565,0.207512967817502
"93","FL","Highlands County",12055,106221,23.3,0,36,74.8,49.53,4.5,39994,7.602484472,20.8,23722,2.44,4.455219102,6.99844479,4.196017443,0.09453237,17.9367548,0.606836825,6.315372183,3.323880096,51.98060562,17.37,0.38,70.66,8.86,1.42,15.26003562,38.02452368,21.36020603,8.391097672,16.96413699,3.276,0.668449300364194,0.324669350201265,0.343779950162929
"94","FL","Hillsborough County",12057,1471968,14,0.0164383561643836,42,74.9,65.6,3.1,58361,6.712179374,14.7,31173,2.63,10.64327644,6.73829211,4.960279889,0.080702609,14.33034869,2.185282369,1.206782025,4.925263674,51.1842394,24.95,0.24,53.74,15.56,3.36,11.60225186,27.14441127,19.17429506,9.423055961,32.65598584,5.952,0.459787968199443,0.528558568553625,-0.0687706003541821
"95","FL","Indian River County",12061,159923,16.1,0,36,74.6,47.46,3.8,58228,4.252784322,10.7,35172,2.6,7.338708261,8.791343908,3.727319035,0.182677276,18.19044106,0.988916408,1.586130579,5.378440568,49.86738332,11.2,0.2,77.36,8.75,1.19,11.27108897,29.74118176,20.69854117,9.941975597,28.34721249,1.673,0.603914488531451,0.388207295556194,0.215707192975258
"96","FL","Lake County",12069,367118,19.3,0.00303030303030303,35,73.7,53.04,3.2,52447,5.652718466,11.5,27052,2.55,6.167138059,8.430558011,4.694036886,0.056714395,15.98977668,2.007836898,1.184373343,4.877437982,52.31350539,12.12,0.32,74.52,9.36,1.7,10.68643282,32.90514754,23.20095188,10.48245774,22.72501002,2.194,0.595601805843437,0.395170220619552,0.200431585223885
"97","FL","Lee County",12071,770577,14.1,0.00273972602739726,36,76.3,56.71,3.1,56343,6.257399811,12.1,31924,2.61,6.888527813,11.16794715,4.477008151,0.092943639,16.94817222,1.730490194,0.795704533,3.425875776,51.03207559,18.31,0.21,70.96,7.72,1.33,11.99704002,30.83327601,20.30228264,9.068479346,27.79892199,4.109,0.592149256535305,0.40034374293918,0.191805513596125
"98","FL","Leon County",12073,293582,11.2,0.00277777777777778,38,69.9,49.67,3.1,51046,11.53518147,20.7,29754,2.43,5.862818168,3.822829719,2.963380592,0.093508065,12.86904746,1.358617181,0.308714127,2.024174585,56.47818374,5.58,0.25,59.34,29.91,2.89,6.362957343,19.12004282,19.23649217,9.568255201,45.71225247,2.051,0.352625990462103,0.63535036733792,-0.282724376875817
"99","FL","Manatee County",12081,403253,16.7,0.00547945205479452,36,74.8,56.77,3.1,59587,5.423468325,10.4,32070,2.57,6.812878546,8.50621613,3.615556264,0.036978004,16.80777813,1.581128467,0.879821485,7.275103602,50.86005738,14.85,0.19,73.4,8.43,1.61,10.76716501,30.42921066,20.80463949,8.655850304,29.34313454,2.966,0.57608845951751,0.415591957890467,0.160496501627043
"100","FL","Marion County",12083,365579,18.2,0,38,72.5,55.92,3.8,44517,7.396153846,15.1,24570,2.48,5.467128028,7.332383472,4.736006513,0.033380826,18.5686953,1.301852229,2.527986973,6.682678608,48.36963159,10.91,0.3,73.99,11.87,1.31,12.6575095,37.46988789,21.98994719,8.529062046,19.35359338,1.212,0.625445257760207,0.366275883665401,0.259169374094806
"101","FL","Martin County",12085,161000,15.7,0,35,76.7,55.65,3.1,61592,4.652833045,10.7,40389,2.41,7.645856842,8.967946567,5.016926408,0.048796853,13.49080484,1.7627863,1.97627253,5.832748788,51.53557596,12.22,0.17,80.33,5.12,1.03,9.450993323,25.15208969,22.34358256,10.01318935,33.04014508,1.005,0.619573364665843,0.373690821060308,0.245882543605534
"102","FL","Miami-Dade County",12086,2716940,9.2,0.00550964187327824,38,78,50.75,2.4,52043,6.968847482,16,26838,3.07,7.717396315,7.754352536,7.745977842,0.040490496,15.6017487,2.020606359,0.672511025,4.513038401,50.52983389,65.05,0.08,15.36,17.05,1.44,18.50751066,27.74719846,15.58188082,9.352436049,28.81097402,15.229,0.460603069113844,0.534107412068989,-0.0735043429551459
"103","FL","Okaloosa County",12091,210738,17.5,0,36,68.9,58.71,2.7,62779,4.494698994,12.7,31901,2.52,6.495376773,7.557176003,4.354634085,0.082292298,13.80453293,0.970363343,0.430891614,4.369492417,50.5823323,6.8,0.49,77.15,9.03,2.87,8.16854905,24.6598256,25.19363214,11.35320684,30.62478637,1.973,0.685708884363211,0.294295068443711,0.3914138159195
"104","FL","Orange County",12095,1393452,9.5,0,36,74.4,54.31,2.9,58037,6.580506494,15.6,28859,2.81,6.916894536,6.424999622,5.536990316,0.045473086,14.19696947,2.162615382,0.366957231,4.63553548,56.70796006,26.9,0.21,45.97,19.48,4.85,11.51203647,24.54976863,19.03608215,11.08725988,33.81485286,9.92,0.37904983449258,0.610151636615833,-0.231101802123252
"105","FL","Osceola County",12097,375751,13.4,0.010989010989011,34,74.8,52.74,3.3,50473,6.521790846,13.4,21331,3.4,4.650400021,7.019653744,6.190029069,0.016721117,17.70959278,1.26308749,0.544079438,2.986005711,56.15787307,45.46,0.22,40.3,9.12,2.65,13.23912018,31.91803905,23.3993125,10.89487519,20.54865308,16.211,0.426129114570043,0.56424992460971,-0.138120810039667
"106","FL","Palm Beach County",12099,1496770,13.9,0,35,76.9,56.3,3.3,61735,5.542977069,12.2,37998,2.6,7.960596339,7.537241356,4.358794842,0.045231509,15.68981037,1.893453672,0.912541966,4.340582815,53.93566378,19,0.16,60.11,16.76,2.31,11.80211083,24.51012181,19.19721413,8.798655987,35.69189724,6.141,0.432914100352063,0.560780590771873,-0.127866490419811
"107","FL","Pasco County",12101,553947,20.1,0,36,74.1,64.37,3.5,53788,6.006774423,12.6,27786,2.52,8.393218781,7.729172551,4.64114214,0.063675666,16.90469237,2.041451422,0.542918835,5.21278684,50.73418521,11.74,0.27,80.1,4.09,2.07,10.95344112,33.07404245,21.75395556,10.79267897,23.4258819,1.656,0.594830612312481,0.394320627876941,0.20050998443554
"108","FL","Pinellas County",12103,974996,16.8,0,40,75.2,65.57,3,52226,6.324929978,11.7,33478,2.31,9.535326818,5.469604591,4.048686452,0.048193311,15.14659733,1.897471532,0.237380077,7.094503721,52.87927015,7.99,0.23,76.9,10.03,2.92,8.889334819,28.28222433,21.98219376,9.884622525,30.96162457,2.166,0.493481503979704,0.495698703804615,-0.00221719982491086
"109","FL","Polk County",12105,724777,17.1,0,36,75,60.72,3.7,51354,7.422931789,15.7,23812,2.84,6.369957361,7.836574823,6.050253753,0.265628026,17.67833067,1.452002441,1.648939863,6.002024181,48.89528702,17.69,0.28,64.57,14.17,1.59,15.17721988,35.43184825,20.94219862,8.467617066,19.98111618,3.786,0.566883026079661,0.422567995898105,0.144315030181555
"110","FL","St. Lucie County",12111,328297,12.7,0,34,75.7,51.93,3.9,53377,5.916053233,12.1,25736,2.68,4.715298966,8.592146452,4.842889408,0.044379284,18.99671118,1.893251971,1.073820185,4.68280699,51.02745968,16.56,0.24,61.21,18.49,1.52,13.87810805,33.68804295,21.60313027,10.5048151,20.32590363,2.626,0.504335856048418,0.488688439846895,0.0156474162015229
"111","FL","Santa Rosa County",12113,184313,18.3,0,39,68.8,54.54,3,69541,4.597427346,9.5,30904,2.68,7.45348423,7.104102157,5.536678267,0.404187104,13.86567287,1.57701477,0.968678925,4.862576385,50.07809717,4.3,0.79,85.04,5.25,1.78,8.440588419,27.19538852,22.95441694,13.31707276,28.09253336,0.383,0.723711282358222,0.258229836899596,0.465481445458626
"112","FL","Sarasota County",12115,433742,19.1,0,37,75.2,52.83,3.1,61652,4.250515266,10.3,39364,2.25,7.795149738,7.826395231,3.361294044,0.038455992,15.89734654,1.71489689,0.600273999,5.4739701,54.14844013,7.91,0.18,84.85,4.49,1.27,7.175928043,29.09751496,20.21592097,8.839226659,34.67140937,2.044,0.548350734546799,0.443906495426407,0.104444239120392
"113","FL","Seminole County",12117,471826,10.8,0.00273972602739726,37,74.1,55.73,2.9,67187,5.328785866,9.9,33419,2.7,9.573177992,6.111946518,3.992168242,0.021166914,13.98206986,3.268965335,0.325882285,5.476939088,53.83275492,17.14,0.24,66.34,10.46,3.66,5.707863478,21.72323743,20.0174932,14.30210577,38.24930012,3.578,0.48019093993827,0.508130283917719,-0.027939343979449
"114","FL","Volusia County",12127,553284,20.6,0,37,73.4,57.94,3.4,50285,6.873436428,13.2,27272,2.43,7.112696862,8.447151331,5.020112265,0.047269504,16.27707202,1.896688862,0.72176897,6.131854646,49.98977342,11.16,0.27,75.41,10.02,1.49,10.01628957,32.17781843,23.40431545,10.84027482,23.56130173,1.976,0.565383702132781,0.424718399422324,0.140665302710456
"115","GA","Bibb County",13021,153159,13.4,0.00821917808219178,38,66.5,44.01,3.9,41390,12.24912317,24.7,24409,2.54,8.093247588,4.049839228,5.303858521,0.152733119,15.04823151,1.506430868,0.602893891,7.376205788,51.58199357,2.82,0.18,42.11,51.91,1.6,14.26079809,31.56380622,21.80066758,6.697873961,25.67685414,0.999,0.375583335690245,0.613852985264587,-0.238269649574342
"116","GA","Chatham County",13051,289430,21.6,0,39,69.4,50.44,3.3,54165,7.661684644,14.4,30664,2.54,5.124876451,5.891247584,7.679201027,0.039830646,14.42090666,1.610928349,0.308318704,8.764217328,50.67712098,5.42,0.22,50.35,39.71,2.35,10.38589879,24.32573127,24.4902315,7.573777831,33.22436061,2.067,0.39901655073159,0.586524046533941,-0.187507495802351
"117","GA","Clayton County",13063,292256,9,0,36,64.5,53.44,4.2,46059,8.124193264,17.6,20419,2.95,4.28290549,6.29801884,14.35926186,0.061590455,15.60765301,1.764013803,0.262943866,6.64782104,45.21765909,13.66,0.22,14.11,65.15,4.95,15.25022949,32.93942669,24.12707266,8.198254726,19.48501644,2.147,0.140754918543577,0.849870916050921,-0.709115997507344
"118","GA","Cobb County",13067,760141,11.8,0.00354609929078014,42,63.3,55.48,3,78603,4.71799946,9.1,38268,2.65,8.677716693,6.967365567,5.383745123,0.037454817,14.44165386,3.497664205,0.138274975,7.3996352,50.1155712,12.26,0.19,56.31,24.42,4.42,8.222376868,18.72335034,19.49005616,7.061256014,46.50296063,2.857,0.420178397269181,0.56345243416775,-0.14327403689857
"119","GA","DeKalb County",13089,759297,12.1,0.010958904109589,44,63.9,55.37,3.4,63477,7.079610809,14.3,34100,2.63,6.967967869,4.585346613,6.91679748,0.043175016,13.15532079,3.45133616,0.13192366,5.757201833,54.32989443,9.8,0.18,29.4,53.62,5.08,11.03057294,20.80036709,18.21345639,6.591725779,43.3638778,5.843,0.157458205887589,0.831194402636846,-0.673736196749257
"120","GA","Douglas County",13097,146343,18.4,0.0204081632653061,40,63.8,56.28,3.5,60512,6.192228689,12.6,26621,2.87,5.037486559,7.603364216,10.61554551,0.138457233,15.97560796,2.602701389,0.132565436,9.646344876,43.07492893,8.4,0.24,49.03,38.81,1.42,12.02503206,30.71906886,22.55625089,7.561127977,27.13852022,0.6,0.368332706277313,0.619540994993199,-0.251208288715886
"121","GA","Floyd County",13115,98498,25.4,0,44,62.5,61.48,3.8,44906,7.517880452,20.7,25058,2.6,3.458639327,6.759737269,3.88278921,0.021813423,12.42880341,1.459075596,0.523522141,17.68099081,49.46557115,9.33,0.2,73.67,14.01,1.27,19.0210183,33.05662615,20.12576654,7.350944809,20.4456442,1.41,0.699209017682204,0.288261048353934,0.41094796932827
"122","GA","Fulton County",13121,1063937,10.7,0.0191780821917808,49,63.8,56.6,3.5,70808,7.200300745,13.5,43707,2.47,9.260119366,3.411052538,6.363646919,0.044316977,12.56686251,4.217466695,0.204554779,5.884675228,54.51994457,7.88,0.17,40.85,43.5,5.57,7.932420998,18.25961207,16.46469957,5.95750754,51.38575983,3.53,0.262032269334968,0.725901572991662,-0.463869303656695
"123","GA","Gwinnett County",13135,936250,12.3,0.00563380281690141,45,62.9,59.37,3,72008,4.799143524,9.2,29474,3.11,7.084562984,9.162580158,5.070672554,0.00843189,16.19522045,3.034814831,0.131581867,8.745423481,47.35194266,20.12,0.19,44,22.86,10.53,12.33435573,22.77934987,19.49029308,9.291092262,36.10490906,3.468,0.401910038814269,0.584494098153967,-0.182584059339698
"124","GA","Hall County",13139,204441,17.6,0,37,62,63.56,2.8,61631,5.59608573,13.2,27625,3.04,4.51288074,8.226492241,4.976130667,0.044585087,16.60087648,1.403886515,1.167911787,20.22966757,39.67420263,26.1,0.21,63.61,7.1,1.77,21.61726297,27.47883823,20.2995689,6.558576418,24.04575349,0.818,0.708914587406254,0.276494692777538,0.432419894628715
"125","GA","Henry County",13151,234561,15.3,0.0192837465564738,37,64.8,50.66,3.5,72970,5.109930869,7.5,28274,2.98,5.840880431,5.348886087,13.06889831,0.013374604,14.08536818,2.37208147,0.095532882,6.50769995,44.82116244,5.79,0.24,52.51,36.32,2.89,9.559076938,31.14524649,22.20370097,8.799471089,28.29250452,0.668,0.392355973267858,0.597107270036911,-0.204751296769053
