"","State","County","FIPS","Population","Age.Adjusted.Rate","per_unhealthy_days","Median.AQI","Avg_Temperature","Total_Precipitation","UnempRate2019","MedHHInc","Deep_Pov_All","PovertyAllAgesPct","PerCapitaInc","AvgHHSize","PctEmpFIRE","PctEmpConstruction","PctEmpTrans","PctEmpMining","PctEmpTrade","PctEmpInformation","PctEmpAgriculture","PctEmpManufacturing","PctEmpServices","HispanicPct2010","NativeAmericanNonHispanicPct2010","WhiteNonHispanicPct2010","BlackNonHispanicPct2010","AsianNonHispanicPct2010","Ed1LessThanHSPct","Ed2HSDiplomaOnlyPct","Ed3SomeCollegePct","Ed4AssocDegreePct","Ed5CollegePlusPct","Net_International_Migration_Rate_2010_2019","per_gop","per_dem","per_point_diff"
"13","AZ","Coconino County",4005,143476,29.7,0,45,52.5,13.63,5.5,60187,9.870730179,15.9,26387,2.68,3.355451666,5.442618006,4.616196652,0.248831247,11.92429498,0.956115216,1.260744986,7.240235259,58.86894888,13.51,26.49,55.22,1.11,1.33,10.3690985,21.43718263,23.56945408,9.000353146,35.62391164,0.947,0.368827202574101,0.609412919586617,-0.240585717012516
"14","AZ","Gila County",4007,54018,46.2,0.153424657534247,60,59.8,22.02,5.5,43585,11.22645283,20.4,22939,2.42,4.729655324,9.172998568,4.421319238,5.258231472,12.11870939,1.079176302,1.883052527,3.898249092,49.15207576,17.89,14.21,65.86,0.36,0.48,14.67847516,28.60736748,30.19124631,7.973302529,18.54960852,0.385,0.66395693330443,0.323108606113158,0.340848327191271
"15","AZ","Maricopa County",4013,4485414,15.7,0.104109589041096,65,70.5,11.3,4,65234,6.899045298,12.3,31697,2.76,9.930517165,6.95791314,5.46517476,0.164451691,14.67611599,2.021268952,0.473097978,7.409905819,49.13478253,29.57,1.55,58.68,4.65,3.36,12.60943037,22.57912261,24.37493131,8.458109949,31.97840576,2.514,0.481119607629954,0.502916923374286,-0.0217973157443312
"16","AZ","Mohave County",4015,212181,30,0,14,61.8,13.52,5.7,45129,7.753323596,16.8,24829,2.37,4.926730672,6.808994442,5.986469036,0.512323845,15.14934591,1.431699512,0.720060637,5.62292965,53.34203582,14.77,1.89,79.61,0.86,1.01,14.72659858,34.82500257,29.47180027,8.080160115,12.89643847,-0.724,0.750059691514254,0.237151998471897,0.512907693042357
"17","AZ","Navajo County",4017,110924,29.8,0.00273972602739726,44,52,10.77,7.3,40650,14.64699485,28.5,18333,3.08,3.976316422,7.327482568,6.762442895,1.628997355,14.99459005,1.421615773,1.749218562,3.050613128,49.68742486,10.77,42.39,43.91,0.78,0.5,17.17513962,30.08772056,29.29234922,7.616326648,15.82846396,0.472,0.53409420079949,0.45155746094278,0.0825367398567098
"18","AZ","Pima County",4019,1047279,22.7,0.00547945205479452,47,67.6,15.28,4.4,53395,7.926812042,16.2,28480,2.47,5.770365596,6.50346349,4.24901724,0.688158767,13.6156479,1.67977013,0.455292377,6.415627922,54.39654468,34.56,2.4,55.26,3.17,2.51,11.67848567,22.46490779,25.14345685,8.831900853,31.88124883,2.202,0.398970685665454,0.585674095269187,-0.186703409603733
"19","AZ","Pinal County",4021,462789,15.7,0.0904109589041096,63,68.9,13.87,4.9,58848,7.343869488,12.9,23653,2.86,6.5338603,5.903096597,5.25569883,1.140431421,14.75774149,1.287476546,1.986772592,8.525290431,47.3398805,28.47,4.63,58.68,4.26,1.63,14.55715525,29.67771032,27.35264527,9.40329575,19.00919341,2.302,0.57867885882283,0.405897198938591,0.172781659884239
"20","AZ","Yavapai County",4025,235099,31.5,0,43,59.3,17.94,4.4,48758,6.383703811,13.2,28829,2.29,4.591048466,7.946091132,4.695633572,1.571153526,15.35024126,1.641273086,0.839057783,5.560837632,53.08526063,13.61,1.33,81.96,0.52,0.81,9.675053692,25.73379197,29.64560307,9.761193856,25.18435741,0.127,0.638798157453936,0.346189279731993,0.292608877721943
"21","AZ","Yuma County",4027,213787,14.9,0.00821917808219178,45,72.2,5.64,16.4,44116,8.112554968,19.5,21178,2.79,3.658183159,6.35867847,4.194330277,0.301665086,14.56028032,1.040678681,11.54362947,4.337917589,44.06022763,59.72,1,35.26,1.62,1.04,27.86445394,25.93201293,24.34432307,7.094535197,14.76467486,3.808,0.52246660755656,0.460629808654864,0.0618367989016961
"22","AR","Benton County",5007,279141,14,0,35,58,73.06,2.6,68978,3.965229491,8.6,32624,2.72,4.872230599,7.104505238,5.110776031,0.233758566,24.98105199,0.970137941,0.994870077,13.90504456,39.3990889,15.49,1.55,76.63,1.2,2.82,11.9167486,29.12969829,20.66774067,5.840509838,32.4453026,2.426,0.61682734004937,0.352333377810394,0.264493962238975
"23","AR","Garland County",5051,99386,31.3,0,38,61.7,68.49,3.7,43610,7.65579988,20.4,26791,2.41,5.173440524,9.024366036,3.498585678,0.384596298,16.24485137,1.729442708,0.90566225,8.6943576,50.10173192,4.81,0.55,83.96,7.86,0.72,11.61509413,31.5029309,28.41421486,8.268515387,20.19924473,-0.016,0.657684562999163,0.317767370302496,0.339917192696667
"24","AR","Pulaski County",5119,391911,16.1,0,45,61.8,77.11,3.4,49957,8.13492166,16.7,31359,2.46,7.014329009,4.989400979,5.087530022,0.132826604,13.82318339,3.111937588,0.391431871,6.79421635,51.79370131,5.79,0.33,55.31,34.81,1.94,9.559110857,26.16778887,23.3689281,6.815107611,34.08906457,1.453,0.374726399774059,0.59984348890301,-0.225117089128951
"25","AR","Washington County",5143,239187,15.1,0,43,57.9,70.34,2.4,50893,7.600995336,15.2,27823,2.57,4.407340417,7.259523182,5.005408058,0.111796839,14.77990565,1.46517483,1.000718045,14.72446169,48.4343898,15.49,1.06,74.14,2.87,2.15,15.03369209,26.26969594,20.42876892,5.418961661,32.84888139,2.404,0.503935671397959,0.46489720577939,0.0390384656185687
"26","CA","Alameda County",6001,1671329,9,0.0219178082191781,41,59.7,20.69,2.9,101744,5.078143116,9,44283,2.81,6.159684597,5.315344028,5.036651439,0.077080161,11.48163887,3.491979178,0.3385389,9.965768382,54.71003459,22.51,0.28,34.07,12.19,25.86,12.04025583,17.62688472,17.90187512,6.452156859,45.97882747,6.276,0.177055947543982,0.802296249727225,-0.625240302183243
"27","CA","Butte County",6007,219186,19.9,0.0136986301369863,46,60.2,56.18,5.1,50945,9.184268454,18.5,27537,2.55,5.262991529,5.801407679,3.463353985,0.114848063,15.34433346,1.770135289,3.88060016,6.564251696,53.37906183,14.14,1.54,75.19,1.42,4.06,10.6991683,22.72702684,29.75251876,10.27452837,26.54675773,0.728,0.477548460437859,0.494169067638815,-0.0166206072009565
"28","CA","Contra Costa County",6013,1153526,9.4,0.010958904109589,40,60.6,21.42,3.1,101463,4.178556525,7.8,45524,2.86,8.496810841,7.074615903,5.258320955,0.210844419,12.66016593,2.766191079,0.464807801,6.73843416,52.33326573,24.36,0.28,47.75,8.92,14.19,10.62019063,17.56998864,21.82647627,8.26899407,41.71435039,3.15,0.26302324381054,0.716387660650689,-0.453364416840149
"29","CA","El Dorado County",6017,192843,21.4,0.0164383561643836,43,53.6,55.31,3.5,81869,3.818671221,8.1,40382,2.67,7.701477441,7.720743176,4.146949391,0.21312719,12.90563402,2.204722513,1.075268817,6.928439837,50.22095389,12.08,0.86,79.91,0.72,3.39,6.902669319,21.24543484,27.13263458,11.02096262,33.69829864,0.593,0.53245277170263,0.444479842945461,0.0879729287571682
"30","CA","Fresno County",6019,999101,10.5,0.180821917808219,60,55.8,22.69,7.2,52318,10.62485704,21.3,23284,3.16,4.711938527,5.705753733,4.967576685,0.12619479,13.97263697,1.343662148,9.795214594,7.302055351,45.85743737,50.31,0.64,32.73,4.84,9.33,24.70876187,22.94213795,23.15118901,8.509568235,20.68834293,1.024,0.450822211074836,0.529112494483415,-0.0782902834085781
"31","CA","Humboldt County",6023,135558,19.6,0,27,54.5,65.12,3.6,49471,8.602613165,20.3,26747,2.43,4.239790061,6.795145153,3.801869772,0.103329506,15.98983106,1.410529769,4.728555027,4.162702969,52.1141545,9.81,5.17,77.22,1.03,2.12,9.655667457,23.5083636,27.53137711,9.526243665,29.77834816,0.11,0.316295693613064,0.650432963328878,-0.334137269715813
"32","CA","Kern County",6029,900202,15,0.26027397260274,67,61.7,12.06,7.7,51586,9.330191847,20.5,22553,3.18,3.538175047,6.686231525,5.413926408,3.934186644,13.78320722,1.01713693,12.58721684,5.221813639,41.43065083,49.19,0.7,38.56,5.4,3.94,26.23266303,27.67130239,22.75136253,7.228904341,16.11576771,0.826,0.538892492775845,0.436941807054445,0.1019506857214
"33","CA","Kings County",6031,152940,17.5,0.112328767123288,56,64.3,8.16,7.9,58255,8.776222998,18.8,21186,3.16,2.961459684,3.63229795,4.363267377,0.383336152,11.92476088,1.016592442,14.51791721,7.493845951,40.06426518,50.9,0.85,35.22,6.74,3.49,26.28871004,25.49799071,25.99083632,8.749905222,13.47255771,0.42,0.54886223722012,0.426353230881481,0.122509006338638
"34","CA","Los Angeles County",6037,10039107,8.1,0.235616438356164,71,61,20.85,4.4,67986,6.629788157,14.2,32469,3,6.065518359,5.835153105,5.828581802,0.074132516,13.78944887,4.436143154,0.389739895,9.611270442,50.76619344,47.74,0.19,27.79,8.3,13.5,21.33840256,20.69219598,19.20305474,6.95735542,31.80899129,2.92,0.268686599070282,0.710431686315497,-0.441745087245215
"35","CA","Marin County",6041,258826,16.6,0.00275482093663912,33,56.9,39.92,2.3,122933,3.723264005,6.6,69275,2.4,10.05896899,5.839832604,3.02377782,0.070001902,11.67433898,3.786950732,0.615560205,4.668061632,56.89176336,15.48,0.21,72.83,2.62,5.38,6.761274476,10.94672538,17.00683842,6.495714833,58.78944689,2.123,0.157970744732062,0.82340934910559,-0.665438604373528
